laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E06000030,SWINDON,103977,103941,96.7,92.5,91.6,84.5,90.9,0.1,0.4,0.8,3.2,0.1,97.2,0,100597,96207,95287,87899,94508,88,408,857,3344,153,101042,14,5310,95287,88,320,449,2487,5.1,91.6,0.1,0.3,0.4,2.4
E08000008,TAMESIDE,116828,116597,98,73.2,72.6,49.4,72.1,0,0,0.1,1.9,0,99.5,0,114434,85567,84819,57708,84199,0,8,118,2163,3,116270,0,29615,84819,0,8,110,2045,25.3,72.6,0,0,0.1,1.8
E07000199,TAMWORTH,36405,36389,99.3,86.8,83.8,9.9,80,0.1,0.1,0.2,0.6,0,99.7,0,36158,31588,30525,3588,29141,30,35,85,231,1,36283,0,5633,30525,30,5,50,146,15.5,83.8,0.1,0,0.1,0.4
E07000215,TANDRIDGE,39284,39243,95.3,63.9,62.8,24.9,62.3,0.1,0.5,0.8,4.6,0.1,99.5,0,37435,25084,24676,9791,24458,34,185,331,1808,54,39086,0,12759,24676,34,151,146,1477,32.5,62.8,0.1,0.4,0.4,3.8
E07000045,TEIGNBRIDGE,67716,67646,90.9,58.5,57.2,41.9,58.5,0.5,1.5,3,9,0.5,97.3,28.3,61545,39621,38758,28365,39621,308,1047,2019,6101,352,65908,19197,22787,38758,308,739,972,4082,33.7,57.2,0.5,1.1,1.4,6
E06000020,TELFORD AND WREKIN,85353,85190,98,83.4,81.3,16.1,79.8,0.1,0.2,0.4,1.8,0,99.1,36.5,83676,71187,69427,13761,68143,52,152,305,1514,22,84584,31124,14249,69427,52,100,153,1209,16.7,81.3,0.1,0.1,0.2,1.4
E07000076,TENDRING,76315,76108,98.5,44,44,44,44,0.1,0.1,0.4,1.3,0.1,99.3,1.3,75136,33559,33559,33552,33559,48,92,308,972,52,75767,992,41577,33559,48,44,216,664,54.5,44,0.1,0.1,0.3,0.9
E07000093,TEST VALLEY,61375,61279,94.4,69.9,69.5,24.7,69.2,0.2,1.2,2,5.5,0.4,98.4,0,57924,42921,42660,15129,42455,147,709,1229,3355,269,60418,0,15264,42660,147,562,520,2126,24.9,69.5,0.2,0.9,0.8,3.5
E07000083,TEWKESBURY,47472,47384,93.8,73.9,72.4,45.5,73.2,0.1,0.7,1.9,6.1,0.2,94.9,0.5,44511,35069,34368,21620,34768,55,331,883,2873,97,45065,226,10143,34368,55,276,552,1990,21.4,72.4,0.1,0.6,1.2,4.2
E07000114,THANET,74428,74220,97.6,65.1,65.1,65,65.1,0,0.6,1,2.1,0.1,99.3,24.5,72666,48445,48445,48350,48445,13,456,708,1554,38,73942,18229,24221,48445,13,443,252,846,32.5,65.1,0,0.6,0.3,1.1
E07000102,THREE RIVERS,40195,39965,97.7,88.6,87.3,71.7,85.7,0.2,0.2,0.3,1.7,0,99.2,0,39283,35613,35077,28810,34430,68,89,132,682,7,39884,0,4206,35077,68,21,43,550,10.5,87.3,0.2,0.1,0.1,1.4
E06000034,THURROCK,73027,72913,97.2,86.5,85.5,62.3,84.9,0.1,0.4,1.2,2.6,0.1,98,0,70978,63165,62466,45484,62003,96,258,858,1935,42,71540,6,8512,62466,96,162,600,1077,11.7,85.5,0.1,0.2,0.8,1.5
E07000115,TONBRIDGE AND MALLING,58284,58228,96.4,77,75.2,46.5,73.6,0.1,0.4,0.9,3.5,0.2,98.8,8.5,56212,44872,43810,27077,42897,52,237,551,2016,92,57607,4935,12402,43810,52,185,314,1465,21.3,75.2,0.1,0.3,0.5,2.5
E06000027,TORBAY,78650,78209,96.5,85.7,84.3,75.6,82.8,0,0.1,0.2,2.9,0,98,0.2,75928,67412,66280,59444,65136,3,68,137,2281,14,77045,129,9648,66280,3,65,69,2144,12.3,84.3,0,0.1,0.1,2.7
W06000020,TORFAEN,46545,46418,96.7,54.3,46.6,18.9,41.6,0.1,0.6,1.2,3,0,97.6,64.3,45013,25290,21712,8819,19384,56,277,549,1405,6,45436,29931,23301,21712,56,221,272,856,50.1,46.6,0.1,0.5,0.6,1.8
E07000046,TORRIDGE,34947,34827,83.9,42.8,38.9,42.8,42.8,2.3,5.5,9.1,15.8,1.1,94,45.5,29316,14958,13591,14957,14958,808,1933,3177,5511,389,32857,15889,15725,13591,808,1125,1244,2334,45,38.9,2.3,3.2,3.6,6.7
E09000030,TOWER HAMLETS,153978,152565,94.6,81.2,79.2,66.8,77.6,0,0.1,0.5,4.5,0,94.6,0,145655,125035,121964,102843,119505,0,105,768,6910,0,145677,0,23691,121964,0,105,663,6142,15.4,79.2,0,0.1,0.4,4
E08000009,TRAFFORD,109571,109476,98.5,81.4,79.3,39.2,77.5,0,0.2,0.3,1.4,0,99.2,0.2,107916,89205,86851,42991,84888,52,187,334,1560,20,108706,260,21065,86851,52,135,147,1226,19.2,79.3,0,0.1,0.1,1.1
