laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,126176,125948,94.6,49.0,41.6,34.9,34.9,0.0,0.2,0.7,5.2,0.2,97.0,0.0,119358,61798,52461,44051,44051,55,208,881,6590,300,122434,0,66897,52461,55,153,673,5709,53.0,41.6,0.0,0.1,0.5,4.5
S12000034,ABERDEENSHIRE,126065,125176,82.9,7.2,7.0,6.9,6.9,2.6,5.6,9.1,16.4,3.6,94.7,0.0,104472,9118,8872,8732,8732,3234,7099,11516,20704,4538,119331,0,95600,8872,3234,3865,4417,9188,75.8,7.0,2.6,3.1,3.5,7.3
E07000223,ADUR,29779,29755,98.8,85.8,85.6,0.6,0.6,0.0,0.0,0.1,1.1,0.1,99.5,0.0,29427,25562,25482,189,189,0,10,34,328,33,29616,0,3945,25482,0,10,24,294,13.2,85.6,0.0,0.0,0.1,1.0
E07000026,ALLERDALE,51647,51483,92.3,2.8,2.8,2.8,2.8,1.2,2.3,3.3,7.3,1.2,98.6,2.2,47693,1466,1466,1466,1466,627,1173,1705,3790,634,50931,1160,46227,1466,627,546,532,2085,89.5,2.8,1.2,1.1,1.0,4.0
E07000032,AMBER VALLEY,61134,60972,94.7,30.2,26.7,23.6,23.6,0.1,0.5,0.9,5.1,0.4,98.9,0.0,57875,18462,16323,14438,14438,63,280,573,3097,267,60483,0,41552,16323,63,217,293,2524,68.0,26.7,0.1,0.4,0.5,4.1
S12000041,ANGUS,60856,60366,86.8,14.3,14.1,1.9,1.9,1.4,3.8,6.9,12.4,2.5,95.3,0.0,52794,8722,8599,1164,1164,856,2292,4201,7572,1501,57974,0,44195,8599,856,1436,1909,3371,72.6,14.1,1.4,2.4,3.1,5.5
N09000001,ANTRIM AND NEWTOWNABBEY,61028,60487,91.6,74.7,74.5,63.3,63.3,1.6,2.9,3.7,7.5,1.7,98.4,0.0,55911,45613,45464,38651,38651,976,1799,2284,4576,1027,60040,0,10447,45464,976,823,485,2292,17.1,74.5,1.6,1.3,0.8,3.8
N09000011,ARDS AND NORTH DOWN,72718,72511,94.7,70.6,70.4,68.6,68.6,0.6,1.2,2.1,5.0,0.9,99.5,0.0,68865,51336,51178,49862,49862,432,840,1562,3646,622,72375,0,17687,51178,432,408,722,2084,24.3,70.4,0.6,0.6,1.0,2.9
S12000035,ARGYLL AND BUTE,56475,54908,77.7,1.6,1.6,1.6,1.6,3.2,6.1,10.6,19.5,8.0,88.1,0.0,43886,885,885,884,885,1799,3419,5969,11022,4527,49764,0,43001,885,1799,1620,2550,5053,76.1,1.6,3.2,2.9,4.5,8.9
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",86230,85774,88.3,57.2,56.4,57.2,57.2,1.5,3.1,4.9,11.2,2.1,98.3,0.2,76142,49316,48644,49315,49315,1314,2677,4200,9632,1801,84764,136,27498,48644,1314,1363,1523,5432,31.9,56.4,1.5,1.6,1.8,6.3
E07000224,ARUN,78793,78724,96.6,9.8,6.2,3.4,3.4,0.1,0.2,0.4,3.3,0.2,99.6,0.0,76086,7757,4916,2718,2718,92,138,297,2638,127,78508,0,71170,4916,92,46,159,2341,90.3,6.2,0.1,0.1,0.2,3.0
E07000170,ASHFIELD,59136,59038,98.3,87.3,86.7,3.8,3.8,0.0,0.3,0.4,1.5,0.3,99.1,0.0,58123,51610,51290,2243,2243,10,206,255,915,171,58586,0,6833,51290,10,196,49,660,11.6,86.7,0.0,0.3,0.1,1.1
E07000105,ASHFORD,58410,58257,90.0,48.4,45.3,7.5,7.5,0.4,1.8,3.6,9.7,1.1,98.3,0.0,52585,28269,26481,4361,4361,218,1023,2104,5672,641,57414,0,26104,26481,218,805,1081,3568,44.7,45.3,0.4,1.4,1.9,6.1
E07000200,BABERGH,43222,43059,93.4,12.7,12.4,8.3,8.3,0.4,0.8,1.3,6.3,0.8,98.8,0.0,40353,5478,5343,3585,3585,161,359,577,2706,341,42712,0,35010,5343,161,198,218,2129,81.0,12.4,0.4,0.5,0.5,4.9
E09000002,BARKING AND DAGENHAM,80506,80479,98.9,88.0,87.8,51.8,51.8,0.0,0.3,0.4,1.1,0.0,98.9,0.0,79605,70842,70694,41699,41699,18,236,347,874,40,79615,0,8911,70694,18,218,111,527,11.1,87.8,0.0,0.3,0.1,0.7
E09000003,BARNET,159052,158878,97.3,58.7,54.9,21.1,21.1,0.0,0.0,0.1,2.6,0.1,98.2,0.0,154750,93291,87323,33540,33540,0,17,139,4128,172,156209,0,67427,87323,0,17,122,3989,42.4,54.9,0.0,0.0,0.1,2.5
E08000016,BARNSLEY,117509,117242,97.9,69.0,65.2,22.2,22.2,0.1,0.2,0.3,1.8,0.3,99.1,0.0,115070,81060,76598,26112,26114,97,267,399,2172,295,116462,0,38472,76598,97,170,132,1773,32.7,65.2,0.1,0.1,0.1,1.5
E07000027,BARROW-IN-FURNESS,35523,35487,98.5,0.9,0.9,0.9,0.9,0.2,0.2,0.4,1.4,0.2,99.9,0.1,35002,327,327,327,327,55,82,133,485,59,35478,35,34675,327,55,27,51,352,97.6,0.9,0.2,0.1,0.1,1.0
E07000066,BASILDON,83594,83414,97.6,73.3,72.0,16.6,16.6,0.0,0.2,0.4,2.2,0.2,99.3,0.0,81596,61273,60204,13890,13890,9,128,321,1818,184,83018,0,21392,60204,9,119,193,1497,25.6,72.0,0.0,0.1,0.2,1.8
