laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000084,BASINGSTOKE AND DEANE,81334,81237,96.0,53.3,51.5,19.2,51.3,0.2,0.6,1.1,3.9,0.5,98.9,0.0,78066,43348,41885,15612,41718,131,454,928,3171,434,80419,0,36181,41885,131,323,474,2243,44.5,51.5,0.2,0.4,0.6,2.8
E07000171,BASSETLAW,56518,56297,95.6,33.0,26.5,6.3,6.3,0.4,0.8,1.2,4.0,0.6,99.0,6.8,54035,18662,14980,3558,3558,229,441,694,2262,335,55980,3829,39055,14980,229,212,253,1568,69.1,26.5,0.4,0.4,0.4,2.8
E06000022,BATH AND NORTH EAST SOMERSET,88654,88497,90.9,58.5,51.6,21.0,21.0,0.3,0.7,1.7,8.9,0.6,95.0,0.0,80577,51854,45786,18607,18607,275,654,1550,7920,495,84196,0,34791,45786,275,379,896,6370,39.2,51.6,0.3,0.4,1.0,7.2
E06000055,BEDFORD,81203,81148,96.9,74.3,71.2,10.7,10.7,0.1,0.4,0.8,3.0,0.2,99.0,0.0,78724,60295,57791,8705,8705,114,360,661,2424,150,80359,0,20933,57791,114,246,301,1763,25.8,71.2,0.1,0.3,0.4,2.2
N09000003,BELFAST,166853,166159,97.7,90.9,90.5,70.3,70.3,0.0,0.1,0.4,1.9,0.4,97.9,0.0,163012,151664,150971,117322,117322,22,92,664,3147,696,163356,0,12041,150971,22,70,572,2483,7.2,90.5,0.0,0.0,0.3,1.5
E09000004,BEXLEY,103103,102966,97.6,78.5,77.4,27.0,27.0,0.0,0.1,0.6,2.3,0.2,98.1,0.0,100579,80952,79817,27793,27793,6,103,588,2387,173,101183,0,20762,79817,6,97,485,1799,20.1,77.4,0.0,0.1,0.5,1.7
E08000025,BIRMINGHAM,474257,473084,95.7,90.0,89.1,33.4,88.4,0.0,0.1,0.8,4.1,0.2,95.7,0.0,453773,427016,422455,158466,419053,27,466,3724,19311,1183,454063,0,31318,422455,27,439,3258,15587,6.6,89.1,0.0,0.1,0.7,3.3
E07000129,BLABY,45249,45185,97.7,72.5,69.4,33.6,33.6,0.1,0.3,0.4,2.1,0.2,98.8,0.0,44228,32827,31417,15210,15210,33,116,169,957,69,44710,0,12811,31417,33,83,53,788,28.3,69.4,0.1,0.2,0.1,1.7
E06000008,BLACKBURN WITH DARWEN,67236,67094,97.6,67.3,66.8,9.6,9.6,0.0,0.2,0.5,2.2,0.2,99.0,22.1,65602,45229,44933,6428,6446,26,163,326,1492,166,66567,14862,20669,44933,26,137,163,1166,30.7,66.8,0.0,0.2,0.2,1.7
E06000009,BLACKPOOL,77644,77558,98.9,70.5,70.3,0.5,0.5,0.0,0.0,0.0,1.0,0.1,99.0,0.0,76761,54725,54581,419,419,2,11,35,797,84,76902,0,22180,54581,2,9,24,762,28.6,70.3,0.0,0.0,0.0,1.0
W06000019,BLAENAU GWENT,35222,35156,96.4,5.0,3.6,2.4,2.4,0.1,0.2,0.7,3.4,0.3,99.4,0.1,33971,1769,1283,860,860,19,76,245,1185,110,34997,18,32688,1283,19,57,169,940,92.8,3.6,0.1,0.2,0.5,2.7
E07000033,BOLSOVER,38631,38563,95.1,41.8,37.0,13.6,13.6,0.1,0.2,0.4,4.7,0.2,98.8,0.0,36736,16147,14309,5257,5257,25,67,156,1827,95,38166,0,22427,14309,25,42,89,1671,58.1,37.0,0.1,0.1,0.2,4.3
E08000001,BOLTON,133212,132997,98.3,85.8,83.6,1.2,82.0,0.0,0.1,0.3,1.6,0.2,99.1,0.0,130913,114360,111395,1532,109210,35,149,440,2084,222,132047,0,19518,111395,35,114,291,1644,14.7,83.6,0.0,0.1,0.2,1.2
E07000136,BOSTON,33228,32975,90.7,4.3,4.3,4.3,4.3,0.7,1.5,2.4,8.5,1.5,97.4,2.9,30140,1418,1418,1418,1418,220,513,785,2835,511,32355,966,28722,1418,220,293,272,2050,86.4,4.3,0.7,0.9,0.8,6.2
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",197690,196755,98.2,81.4,78.7,20.1,20.1,0.2,0.2,0.3,1.3,0.5,99.0,0.0,194153,160900,155641,39637,39638,337,377,599,2602,953,195739,0,38512,155641,337,40,222,2003,19.5,78.7,0.2,0.0,0.1,1.0
E06000036,BRACKNELL FOREST,53730,53674,96.1,61.7,58.2,7.5,55.9,0.2,0.3,1.0,3.8,0.2,98.5,0.0,51651,33173,31244,4028,30037,90,182,526,2023,107,52924,0,20407,31244,90,92,344,1497,38.0,58.2,0.2,0.2,0.6,2.8
E08000032,BRADFORD,212221,211736,96.4,81.0,78.6,3.4,76.9,0.1,0.3,0.5,3.4,0.2,97.9,20.9,204623,171891,166820,7283,163109,182,583,1103,7113,521,207741,44256,37803,166820,182,401,520,6010,17.8,78.6,0.1,0.2,0.2,2.8
E07000067,BRAINTREE,70600,70403,92.2,11.8,11.8,11.7,11.7,0.6,1.6,2.7,7.5,1.4,96.2,0.0,65110,8315,8315,8278,8278,396,1148,1931,5293,1012,67890,0,56795,8315,396,752,783,3362,80.4,11.8,0.6,1.1,1.1,4.8
E07000143,BRECKLAND,66218,66050,89.8,14.0,12.3,11.1,11.1,0.7,1.8,3.0,9.9,1.7,97.5,0.0,59488,9246,8154,7335,7335,458,1187,2013,6562,1097,64565,0,51334,8154,458,729,826,4549,77.5,12.3,0.7,1.1,1.2,6.9
E09000005,BRENT,134419,133830,97.2,70.3,68.1,25.5,25.5,0.0,0.1,0.4,2.3,0.4,97.3,0.0,130690,94452,91491,34329,34329,2,71,563,3140,583,130814,0,39199,91491,2,69,492,2577,29.2,68.1,0.0,0.1,0.4,1.9
E07000068,BRENTWOOD,35550,35451,95.0,4.2,4.2,4.2,4.2,0.1,0.2,0.5,4.7,0.4,99.2,0.0,33783,1481,1480,1479,1479,34,82,160,1668,125,35257,0,32303,1480,34,48,78,1508,90.9,4.2,0.1,0.1,0.2,4.2
W06000013,BRIDGEND,67172,67097,96.7,39.4,29.2,22.5,22.5,0.0,0.1,0.8,3.2,0.1,98.6,36.6,64956,26445,19586,15104,15104,31,81,555,2141,84,66257,24577,45370,19586,31,50,474,1586,67.5,29.2,0.0,0.1,0.7,2.4
E06000043,BRIGHTON AND HOVE,141272,141002,97.7,85.0,82.0,1.9,1.9,0.0,0.1,0.5,2.1,0.2,97.9,0.0,138063,120073,115850,2693,2693,5,74,695,2939,274,138328,0,22213,115850,5,69,621,2244,15.7,82.0,0.0,0.0,0.4,1.6
E06000023,"BRISTOL, CITY OF",214819,214369,95.7,88.9,87.7,45.7,45.7,0.0,0.1,0.4,4.1,0.2,95.8,0.0,205614,191052,188333,98084,98084,6,118,886,8755,494,205897,0,17281,188333,6,112,768,7869,8.0,87.7,0.0,0.1,0.4,3.7
E07000144,BROADLAND,61616,61399,94.0,42.9,39.5,7.3,7.3,0.2,0.8,1.6,5.6,1.1,98.5,0.0,57946,26410,24363,4492,4492,147,478,984,3453,698,60694,0,33583,24363,147,331,506,2469,54.5,39.5,0.2,0.5,0.8,4.0
E09000006,BROMLEY,146343,146272,97.6,86.7,86.4,3.2,3.2,0.0,0.2,0.5,2.3,0.1,98.5,0.0,142844,126887,126456,4663,4670,55,362,720,3428,116,144220,0,16388,126456,55,307,358,2708,11.2,86.4,0.0,0.2,0.2,1.9
E07000234,BROMSGROVE,44908,44805,95.9,51.4,51.2,31.1,51.3,0.1,0.5,1.0,3.8,0.4,99.5,0.1,43078,23068,22994,13969,23034,45,239,428,1727,161,44669,53,20084,22994,45,194,189,1299,44.7,51.2,0.1,0.4,0.4,2.9
E07000095,BROXBOURNE,43029,43011,98.7,87.9,84.4,3.7,3.7,0.1,0.1,0.2,1.3,0.1,99.4,0.0,42453,37834,36312,1606,1606,26,39,94,558,24,42752,0,6141,36312,26,13,55,464,14.3,84.4,0.1,0.0,0.1,1.1
E07000172,BROXTOWE,52241,52199,98.9,89.5,84.7,1.3,1.3,0.0,0.1,0.2,1.1,0.1,99.6,0.0,51642,46755,44223,692,692,14,48,102,557,41,52029,0,7419,44223,14,34,54,455,14.2,84.7,0.0,0.1,0.1,0.9
E06000060,BUCKINGHAMSHIRE,239525,239115,93.9,46.3,40.7,8.8,14.4,0.2,0.7,1.7,6.0,0.4,98.2,0.0,224852,110784,97444,21144,34591,469,1713,4092,14263,1019,235115,0,127408,97444,469,1244,2379,10171,53.2,40.7,0.2,0.5,1.0,4.2
E07000117,BURNLEY,45261,45163,98.1,78.8,78.7,0.9,78.7,0.1,0.1,0.3,1.7,0.2,99.4,4.5,44403,35650,35633,406,35632,34,52,133,760,112,44983,2015,8770,35633,34,18,81,627,19.4,78.7,0.1,0.0,0.2,1.4
E08000002,BURY,88685,88206,97.4,60.4,54.3,23.7,49.9,0.0,0.1,0.2,2.1,0.5,99.3,0.0,86340,53574,48196,21004,44224,14,90,174,1866,479,88100,0,38144,48196,14,76,84,1692,43.0,54.3,0.0,0.1,0.1,1.9
W06000018,CAERPHILLY,83037,82981,97.8,25.3,19.7,16.0,16.0,0.1,0.1,0.2,2.1,0.1,99.8,47.2,81247,21009,16327,13299,13300,42,89,190,1734,59,82831,39176,64920,16327,42,47,101,1544,78.2,19.7,0.1,0.1,0.1,1.9
E08000033,CALDERDALE,103760,103570,95.0,49.2,48.7,10.6,10.6,0.1,0.4,0.8,4.8,0.2,98.7,0.0,98614,51031,50539,11028,11029,100,387,792,4956,243,102447,3,48075,50539,100,287,405,4164,46.3,48.7,0.1,0.3,0.4,4.0
E07000008,CAMBRIDGE,60809,60734,98.4,89.3,86.6,20.3,20.3,0.0,0.0,0.2,1.4,0.1,98.5,0.4,59865,54283,52671,12362,12362,1,18,116,869,75,59901,269,7194,52671,1,17,98,753,11.8,86.6,0.0,0.0,0.2,1.2
E09000007,CAMDEN,120982,120376,96.4,88.7,86.8,28.2,28.2,0.0,0.0,0.0,3.1,0.5,96.4,0.0,116644,107289,105026,34171,34171,0,0,44,3732,597,116648,0,11618,105026,0,0,44,3688,9.6,86.8,0.0,0.0,0.0,3.0
E07000192,CANNOCK CHASE,47331,47279,97.9,24.8,24.7,3.2,24.5,0.0,0.1,0.1,2.0,0.2,99.6,0.0,46322,11720,11676,1517,11608,11,34,40,957,71,47143,0,34646,11676,11,23,6,917,73.2,24.7,0.0,0.0,0.0,1.9
E07000106,CANTERBURY,73626,73389,93.6,4.5,4.5,4.5,4.5,0.3,0.7,1.3,6.1,0.6,99.3,0.0,68916,3287,3287,3287,3287,194,486,938,4473,424,73078,0,65629,3287,194,292,452,3535,89.1,4.5,0.3,0.4,0.6,4.8
W06000015,CARDIFF,165673,165476,97.7,85.6,82.8,43.7,43.7,0.0,0.1,0.5,2.2,0.1,98.2,62.5,161914,141809,137158,72385,72385,37,222,776,3562,199,162771,103611,24756,137158,37,185,554,2786,14.9,82.8,0.0,0.1,0.3,1.7
E07000028,CARLISLE,57063,56848,93.7,54.3,47.8,5.4,5.4,0.8,1.6,3.2,5.9,1.5,97.3,0.1,53486,30960,27282,3071,3071,449,907,1828,3362,845,55513,36,26204,27282,449,458,921,1534,45.9,47.8,0.8,0.8,1.6,2.7
W06000010,CARMARTHENSHIRE,92966,92355,86.5,19.1,19.1,19.1,19.1,2.0,4.4,6.8,12.9,2.4,93.5,12.6,80382,17725,17725,17721,17721,1858,4061,6313,11973,2259,86959,11739,62657,17725,1858,2203,2252,5660,67.4,19.1,2.0,2.4,2.4,6.1
E07000069,CASTLE POINT,41031,40805,98.5,43.6,43.6,2.2,2.2,0.0,0.2,0.3,0.9,0.6,99.2,0.0,40416,17904,17888,917,917,4,82,115,389,226,40687,0,22528,17888,4,78,33,274,54.9,43.6,0.0,0.2,0.1,0.7
N09000004,CAUSEWAY COAST AND GLENS,66093,64700,85.3,41.1,41.1,41.1,41.1,2.4,4.4,6.1,12.6,3.9,97.2,0.0,56400,27149,27132,27143,27143,1568,2927,4003,8300,2561,64261,0,29268,27132,1568,1359,1076,4297,44.3,41.1,2.4,2.1,1.6,6.5
E06000056,CENTRAL BEDFORDSHIRE,126575,126444,96.7,67.2,64.0,12.5,12.5,0.1,0.6,1.0,3.2,0.3,98.9,0.0,122365,85060,81035,15863,15863,128,756,1311,4079,331,125218,0,41330,81035,128,628,555,2768,32.7,64.0,0.1,0.5,0.4,2.2
W06000008,CEREDIGION,37566,37319,80.3,20.0,20.0,20.0,20.0,3.0,7.1,11.7,19.0,4.6,89.0,3.4,30170,7528,7528,7528,7528,1143,2661,4389,7149,1738,33450,1262,22642,7528,1143,1518,1728,2760,60.3,20.0,3.0,4.0,4.6,7.3
E07000130,CHARNWOOD,79210,78928,98.0,74.2,70.9,9.9,9.9,0.1,0.2,0.4,1.7,0.4,99.1,0.0,77607,58749,56197,7860,7860,82,170,355,1321,320,78483,0,21410,56197,82,88,185,966,27.0,70.9,0.1,0.1,0.2,1.2
E07000070,CHELMSFORD,81992,81900,94.8,59.8,56.5,32.1,32.1,0.1,0.3,0.8,5.1,0.2,98.4,0.0,77735,49027,46292,26353,26353,59,277,631,4165,185,80653,0,31443,46292,59,218,354,3534,38.3,56.5,0.1,0.3,0.4,4.3
E07000078,CHELTENHAM,60127,59974,98.6,76.5,69.5,5.5,5.5,0.0,0.1,0.2,1.1,0.3,99.1,0.0,59296,45994,41771,3309,3309,15,55,150,678,160,59575,0,17525,41771,15,40,95,528,29.1,69.5,0.0,0.1,0.2,0.9
E07000177,CHERWELL,71032,70870,96.4,47.9,38.5,10.5,10.5,0.2,0.4,1.0,3.4,0.4,98.7,0.0,68481,33999,27372,7423,7423,170,287,689,2389,252,70102,0,41109,27372,170,117,402,1700,57.9,38.5,0.2,0.2,0.6,2.4
E06000049,CHESHIRE EAST,188856,188555,93.4,45.0,38.2,9.2,17.2,0.3,0.9,1.6,6.5,0.4,98.3,1.5,176336,84908,72146,17285,32425,609,1642,3103,12219,745,185627,2776,104190,72146,609,1033,1461,9116,55.2,38.2,0.3,0.5,0.8,4.8
E06000050,CHESHIRE WEST AND CHESTER,169227,168988,95.0,45.1,38.1,19.8,19.8,0.2,0.6,1.2,4.9,0.3,98.9,0.5,160748,76292,64550,33451,33451,284,1026,2024,8240,444,167343,774,96198,64550,284,742,998,6216,56.8,38.1,0.2,0.4,0.6,3.7
E07000034,CHESTERFIELD,53216,53157,97.4,53.5,40.8,22.4,22.4,0.0,0.0,0.2,2.5,0.1,99.4,0.0,51818,28449,21735,11903,11903,0,13,122,1339,61,52892,0,30083,21735,0,13,109,1217,56.5,40.8,0.0,0.0,0.2,2.3
E07000225,CHICHESTER,61965,61578,90.6,22.7,20.7,19.2,19.2,0.4,1.0,2.2,8.7,1.4,98.5,0.0,56164,14079,12820,11920,11920,219,608,1357,5414,879,61049,0,43344,12820,219,389,749,4057,69.9,20.7,0.4,0.6,1.2,6.5
E07000118,CHORLEY,54566,54425,95.6,58.9,55.0,11.5,11.5,0.1,0.2,0.8,4.2,0.3,99.1,5.2,52156,32166,29996,6254,6255,30,133,412,2269,174,54070,2861,22160,29996,30,103,279,1857,40.6,55.0,0.1,0.2,0.5,3.4
S12000036,CITY OF EDINBURGH,265092,264996,97.7,86.3,84.5,39.3,82.9,0.0,0.2,0.4,2.3,0.1,98.1,0.0,258940,228835,223920,104191,219845,107,474,945,6056,143,260018,0,35020,223920,107,367,471,5111,13.2,84.5,0.0,0.1,0.2,1.9
E09000001,CITY OF LONDON,11008,10982,56.5,46.9,46.3,45.7,45.7,0.0,0.0,0.0,43.3,0.2,56.5,0.0,6219,5166,5093,5026,5026,0,0,0,4763,26,6219,0,1126,5093,0,0,0,4763,10.2,46.3,0.0,0.0,0.0,43.3
S12000005,CLACKMANNANSHIRE,25820,25641,93.8,19.5,7.6,2.7,2.7,0.1,0.2,0.4,5.5,0.8,99.1,0.0,24232,5027,1958,693,693,28,47,96,1409,205,25587,0,22274,1958,28,19,49,1313,86.3,7.6,0.1,0.1,0.2,5.1
E07000071,COLCHESTER,87697,87080,94.0,54.0,53.8,9.1,9.1,0.2,1.0,1.9,5.3,1.3,96.3,0.0,82424,47392,47224,7954,7954,194,890,1674,4656,1166,84466,0,35200,47224,194,696,784,2982,40.1,53.8,0.2,0.8,0.9,3.4
W06000003,CONWY,59312,59245,93.3,7.2,7.2,7.2,7.2,0.8,2.0,3.3,6.6,1.1,97.4,58.5,55360,4289,4289,4289,4289,477,1179,1938,3885,681,57783,34684,51071,4289,477,702,759,1947,86.1,7.2,0.8,1.2,1.3,3.3
E07000029,COPELAND,35682,35588,94.8,1.6,1.6,1.6,1.6,0.3,0.8,1.5,4.9,1.0,99.0,0.0,33827,554,554,554,554,119,274,532,1761,353,35342,0,33273,554,119,155,258,1229,93.2,1.6,0.3,0.4,0.7,3.4
E07000150,CORBY,32478,32397,98.1,78.1,64.9,23.6,23.6,0.1,0.2,0.3,1.6,0.4,98.6,0.0,31864,25373,21081,7681,7681,20,81,105,533,128,32027,0,10783,21081,20,61,24,428,33.2,64.9,0.1,0.2,0.1,1.3
E06000052,CORNWALL,299232,297717,88.2,35.7,34.3,31.4,31.4,0.3,1.0,2.2,11.3,1.0,93.5,3.0,263839,106799,102716,93817,93817,893,2943,6597,33878,3137,279674,8995,161123,102716,893,2050,3654,27281,53.8,34.3,0.3,0.7,1.2,9.1
E07000079,COTSWOLD,47123,47022,92.1,36.8,36.7,36.5,36.5,0.2,0.8,1.9,7.7,1.0,94.3,0.1,43380,17358,17279,17220,17220,79,364,898,3642,462,44456,67,26101,17279,79,285,534,2744,55.4,36.7,0.2,0.6,1.1,5.8
E06000047,COUNTY DURHAM,259566,259080,93.7,23.9,19.5,15.3,15.3,0.3,0.8,1.4,6.1,0.5,98.8,0.2,243295,62087,50616,39592,39592,874,2034,3691,15785,1357,256385,634,192679,50616,874,1160,1657,12094,74.2,19.5,0.3,0.4,0.6,4.7
E08000026,COVENTRY,148514,148034,97.6,89.5,89.3,67.2,89.3,0.0,0.3,0.6,2.1,0.3,97.8,0.0,144941,132896,132645,99798,132696,7,458,855,3093,477,145217,0,12296,132645,7,451,397,2238,8.3,89.3,0.0,0.3,0.3,1.5
E07000163,CRAVEN,30055,29952,92.1,22.4,17.0,11.7,11.8,1.0,2.0,3.2,7.5,0.9,97.5,34.2,27685,6722,5110,3524,3537,312,600,962,2267,268,29299,10266,22575,5110,312,288,362,1305,75.1,17.0,1.0,1.0,1.2,4.3
E07000226,CRAWLEY,49058,48883,98.6,84.6,84.0,3.0,3.0,0.0,0.1,0.2,1.0,0.4,99.1,0.0,48383,41525,41222,1448,1448,10,35,89,500,183,48620,0,7161,41222,10,25,54,411,14.6,84.0,0.0,0.1,0.1,0.8
E09000008,CROYDON,168000,167241,96.0,84.1,83.0,19.8,19.8,0.0,0.0,0.2,3.6,0.5,96.6,0.0,161231,141216,139427,33345,33345,1,58,393,6010,761,162222,0,21804,139427,1,57,335,5617,13.0,83.0,0.0,0.0,0.2,3.3
E07000096,DACORUM,68543,68455,96.6,77.5,74.9,4.6,4.6,0.1,0.4,0.7,3.3,0.3,99.0,0.0,66211,53143,51336,3133,3133,54,281,514,2244,175,67862,0,14875,51336,54,227,233,1730,21.7,74.9,0.1,0.3,0.3,2.5
E06000005,DARLINGTON,54518,54434,94.2,83.4,82.9,2.2,2.2,0.7,2.0,3.3,5.6,0.4,95.8,22.5,51369,45472,45212,1205,1205,361,1066,1772,3065,228,52205,12264,6157,45212,361,705,706,1293,11.3,82.9,0.7,1.3,1.3,2.4
E07000107,DARTFORD,49187,49159,95.9,54.3,50.7,14.7,14.7,0.2,0.6,1.4,4.0,0.1,98.3,0.0,47179,26688,24942,7225,7225,94,282,674,1980,37,48338,0,22237,24942,94,188,392,1306,45.2,50.7,0.2,0.4,0.8,2.7
E07000151,DAVENTRY,38116,38067,94.7,36.9,31.0,25.6,25.6,0.3,0.9,1.9,5.1,0.3,97.6,0.0,36109,14065,11823,9759,9759,109,358,743,1958,124,37211,0,24286,11823,109,249,385,1215,63.7,31.0,0.3,0.7,1.0,3.2
