laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,128708,128294,95.8,79.1,77.1,74.4,74.4,0.0,0.1,0.4,3.9,0.0,97.1,0.0,123335,101776,99197,95719,95719,59,178,548,4959,55,125036,0,24138,99197,59,119,370,4411,18.8,77.1,0.0,0.1,0.3,3.4
S12000034,ABERDEENSHIRE,127941,127265,84.2,20.6,20.5,20.5,20.5,1.8,4.5,8.2,15.3,2.6,94.8,0.0,107742,26341,26251,26171,26171,2330,5780,10440,19523,3335,121312,0,81491,26251,2330,3450,4660,9083,63.7,20.5,1.8,2.7,3.6,7.1
E07000223,ADUR,29971,29920,99.1,91.0,91.0,54.5,90.1,0.0,0.0,0.2,0.8,0.0,99.5,0.0,29687,27264,27264,16333,27009,2,8,47,233,7,29826,0,2423,27264,2,6,39,186,8.1,91.0,0.0,0.0,0.1,0.6
E07000026,ALLERDALE,52309,52133,92.7,5.4,5.4,5.4,5.4,1.2,2.1,2.9,6.9,0.6,98.6,3.4,48499,2811,2811,2811,2811,630,1086,1541,3634,327,51583,1788,45688,2811,630,456,455,2093,87.3,5.4,1.2,0.9,0.9,4.0
E07000032,AMBER VALLEY,62170,61902,96.1,49.4,46.2,43.6,43.7,0.1,0.3,0.5,3.4,0.2,99.2,0.0,59760,30682,28732,27101,27186,58,161,287,2142,107,61669,0,31028,28732,58,103,126,1855,49.9,46.2,0.1,0.2,0.2,3.0
S12000041,ANGUS,61825,61621,87.9,31.5,31.4,19.6,31.3,1.1,2.8,5.8,11.7,1.6,95.7,0.0,54368,19497,19442,12094,19381,666,1759,3570,7253,977,59147,0,34926,19442,666,1093,1811,3683,56.5,31.4,1.1,1.8,2.9,6.0
N09000001,ANTRIM AND NEWTOWNABBEY,65585,64980,92.6,86.4,86.4,84.7,86.4,1.5,2.7,3.3,6.4,0.8,98.9,0.0,60751,56686,56663,55576,56644,998,1784,2171,4229,553,64853,0,4088,56663,998,786,387,2058,6.2,86.4,1.5,1.2,0.6,3.1
N09000011,ARDS AND NORTH DOWN,78648,78436,95.5,88.4,88.4,87.8,88.4,0.5,1.1,1.9,4.3,0.5,99.7,0.0,75072,69552,69552,69070,69542,426,852,1487,3364,393,78374,1,5520,69552,426,426,635,1877,7.0,88.4,0.5,0.5,0.8,2.4
S12000035,ARGYLL AND BUTE,57002,56097,80.6,4.0,4.0,4.0,4.0,2.8,5.0,8.8,17.8,4.8,89.8,0.0,45937,2289,2289,2288,2289,1621,2843,5022,10160,2747,51175,0,43648,2289,1621,1222,2179,5138,76.6,4.0,2.8,2.1,3.8,9.0
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",94483,94246,93.8,83.2,83.2,83.2,83.2,0.7,1.5,2.2,6.0,0.8,99.1,0.0,88617,78595,78595,78595,78595,655,1431,2109,5629,749,93626,0,10022,78595,655,776,678,3520,10.6,83.2,0.7,0.8,0.7,3.7
