laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000224,ARUN,80249,80010,97.0,33.7,30.3,28.1,28.2,0.0,0.1,0.2,2.7,0.1,99.7,0.0,77848,27063,24306,22542,22615,26,62,150,2162,81,79972,0,53542,24306,26,36,88,2012,66.7,30.3,0.0,0.0,0.1,2.5
E07000170,ASHFIELD,59770,59627,98.2,89.5,89.5,25.0,88.4,0.0,0.3,0.5,1.6,0.0,99.0,0.0,58698,53520,53474,14939,52822,12,204,285,929,19,59147,1,5224,53474,12,192,81,644,8.7,89.5,0.0,0.3,0.1,1.1
E07000105,ASHFORD,60350,60147,92.3,65.6,63.7,40.6,62.7,0.3,1.1,2.3,7.4,0.4,98.4,34.9,55688,39575,38463,24521,37837,177,647,1418,4459,261,59408,21064,17225,38463,177,470,771,3041,28.5,63.7,0.3,0.8,1.3,5.0
E07000200,BABERGH,44457,44259,95.0,23.3,23.2,21.8,23.2,0.3,0.7,1.0,4.6,0.3,99.1,19.2,42215,10368,10307,9713,10294,134,299,447,2044,125,44036,8535,31908,10307,134,165,148,1597,71.8,23.2,0.3,0.4,0.3,3.6
E09000002,BARKING AND DAGENHAM,81509,81136,98.2,90.7,90.7,56.1,89.1,0.0,0.6,0.8,1.4,0.4,98.2,0.0,80011,73945,73938,45727,72664,34,472,654,1125,308,80021,0,6073,73938,34,438,182,471,7.5,90.7,0.0,0.5,0.2,0.6
E09000003,BARNET,162590,162172,97.8,68.5,66.1,33.6,63.7,0.0,0.0,0.1,2.0,0.0,98.5,0.0,158983,111376,107470,54644,103632,0,15,160,3189,7,160231,0,51513,107470,0,15,145,3029,31.7,66.1,0.0,0.0,0.1,1.9
E08000016,BARNSLEY,119116,118924,98.4,71.3,68.7,27.2,28.7,0.1,0.2,0.3,1.4,0.0,99.2,19.7,117249,84982,81783,32377,34221,74,222,390,1675,11,118170,23478,35466,81783,74,148,168,1285,29.8,68.7,0.1,0.1,0.1,1.1
E07000027,BARROW-IN-FURNESS,35864,35812,98.8,51.0,51.0,51.0,51.0,0.1,0.2,0.3,1.1,0.1,99.8,0.3,35431,18291,18291,18291,18291,53,79,116,381,22,35803,100,17140,18291,53,26,37,265,47.8,51.0,0.1,0.1,0.1,0.7
E07000066,BASILDON,84302,84146,98.3,86.3,85.7,48.1,75.5,0.0,0.2,0.5,1.5,0.0,99.2,0.0,82903,72731,72264,40542,63652,15,167,413,1243,28,83629,0,10639,72264,15,152,246,830,12.6,85.7,0.0,0.2,0.3,1.0
E07000084,BASINGSTOKE AND DEANE,83242,83068,96.3,65.7,64.6,42.8,63.9,0.2,0.5,1.0,3.5,0.2,98.7,0.0,80121,54715,53794,35608,53156,140,431,837,2947,207,82124,0,26327,53794,140,291,406,2110,31.6,64.6,0.2,0.3,0.5,2.5
E07000171,BASSETLAW,58634,58260,95.9,39.3,37.6,14.9,36.2,0.4,0.7,1.1,3.5,0.2,98.8,20.9,56211,23070,22024,8741,21226,214,395,671,2049,125,57919,12237,34187,22024,214,181,276,1378,58.3,37.6,0.4,0.3,0.5,2.4
E06000022,BATH AND NORTH EAST SOMERSET,89547,89242,94.1,68.8,63.4,40.0,58.9,0.1,0.2,0.6,5.5,0.1,96.2,0.0,84297,61596,56736,35807,52733,71,207,493,4945,115,86157,0,27561,56736,71,136,286,4452,30.8,63.4,0.1,0.2,0.3,5.0
E06000055,BEDFORD,83131,82989,97.3,79.3,77.3,34.1,74.6,0.1,0.4,0.7,2.5,0.1,98.9,0.0,80871,65914,64278,28364,62034,111,301,585,2118,62,82253,1,16593,64278,111,190,284,1533,20.0,77.3,0.1,0.2,0.3,1.8
N09000003,BELFAST,173905,172813,98.4,94.6,94.6,87.8,94.4,0.0,0.1,0.2,1.0,0.1,98.5,0.0,171140,164483,164481,152765,164108,24,140,399,1673,119,171337,1,6659,164481,24,116,259,1274,3.8,94.6,0.0,0.1,0.1,0.7
E09000004,BEXLEY,104275,104092,98.2,87.4,87.0,62.1,86.1,0.0,0.1,0.5,1.6,0.0,98.5,0.0,102413,91085,90730,64751,89821,3,115,549,1679,7,102691,0,11683,90730,3,112,434,1130,11.2,87.0,0.0,0.1,0.4,1.1
E08000025,BIRMINGHAM,477617,475094,95.8,90.9,90.3,42.9,88.9,0.0,0.2,0.7,3.6,0.0,95.9,0.0,457684,434071,431406,204861,424717,36,747,3202,17410,89,458007,43,26278,431406,36,711,2455,14208,5.5,90.3,0.0,0.1,0.5,3.0
E07000129,BLABY,45901,45816,98.0,75.4,73.7,39.2,72.3,0.1,0.2,0.4,1.9,0.0,98.9,0.0,44965,34617,33814,18006,33176,30,97,175,851,4,45403,0,11151,33814,30,67,78,676,24.3,73.7,0.1,0.1,0.2,1.5
E06000008,BLACKBURN WITH DARWEN,68180,67865,97.4,70.2,70.0,14.2,69.6,0.0,0.2,0.3,2.1,0.0,98.8,69.4,66413,47841,47710,9715,47462,27,137,238,1452,22,67390,47298,18703,47710,27,110,101,1214,27.4,70.0,0.0,0.2,0.1,1.8
E06000009,BLACKPOOL,78182,77712,98.1,71.6,71.6,3.9,71.5,0.0,0.0,0.0,1.3,0.0,98.3,9.1,76727,56011,55968,3066,55931,8,21,34,985,2,76848,7124,20759,55968,8,13,13,951,26.6,71.6,0.0,0.0,0.0,1.2
W06000019,BLAENAU GWENT,35486,35382,96.5,9.1,7.7,6.6,6.6,0.1,0.2,0.6,3.2,0.1,99.3,0.0,34236,3227,2718,2336,2336,24,88,215,1146,44,35242,17,31518,2718,24,64,127,931,88.8,7.7,0.1,0.2,0.4,2.6
E07000033,BOLSOVER,39731,39585,95.3,45.7,41.8,19.5,39.8,0.1,0.2,0.6,4.4,0.1,98.7,0.0,37848,18175,16609,7765,15808,41,66,223,1737,46,39201,0,21239,16609,41,25,157,1514,53.5,41.8,0.1,0.1,0.4,3.8
E08000001,BOLTON,134292,133962,98.4,89.7,88.4,27.9,86.6,0.0,0.1,0.2,1.4,0.0,99.2,3.4,132137,120497,118781,37530,116315,23,122,316,1825,11,133183,4623,13356,118781,23,99,194,1509,9.9,88.4,0.0,0.1,0.1,1.1
E07000136,BOSTON,33864,33526,93.2,59.1,59.1,59.1,59.1,0.5,1.3,2.0,5.8,0.6,98.0,17.0,31558,20000,20000,20000,20000,168,434,680,1968,207,33183,5750,11558,20000,168,266,246,1288,34.1,59.1,0.5,0.8,0.7,3.8
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",199440,198746,98.5,84.3,82.4,43.3,80.7,0.2,0.2,0.2,1.2,0.0,99.2,0.2,196374,168157,164393,86353,161018,318,357,472,2372,36,197906,302,31981,164393,318,39,115,1900,16.0,82.4,0.2,0.0,0.1,1.0
E06000036,BRACKNELL FOREST,55741,55574,97.2,86.1,84.3,53.7,82.7,0.0,0.1,0.2,2.5,0.0,97.8,0.0,54161,47984,47005,29917,46125,8,48,103,1413,8,54529,3,7156,47005,8,40,55,1310,12.8,84.3,0.0,0.1,0.1,2.4
E08000032,BRADFORD,224446,223580,97.1,86.6,85.0,35.0,83.4,0.1,0.2,0.4,2.5,0.0,98.2,55.6,217869,194478,190888,78637,187158,144,446,842,5711,6,220426,124830,26981,190888,144,302,396,4869,12.0,85.0,0.1,0.1,0.2,2.2
E07000067,BRAINTREE,72847,72524,96.8,48.6,48.6,48.6,48.6,0.2,0.4,0.8,2.7,0.1,98.2,35.2,70539,35440,35440,35406,35440,140,304,570,1985,61,71568,25620,35099,35440,140,164,266,1415,48.2,48.6,0.2,0.2,0.4,1.9
E07000143,BRECKLAND,67545,67307,92.4,42.1,40.7,39.8,39.8,0.6,1.4,2.3,7.3,1.3,98.3,0.1,62402,28463,27524,26856,26856,434,946,1571,4905,845,66409,37,34878,27524,434,512,625,3334,51.6,40.7,0.6,0.8,0.9,4.9
E09000005,BRENT,142001,139316,96.0,80.6,78.8,53.2,76.7,0.0,0.1,0.3,2.1,0.0,96.1,0.0,136297,114407,111843,75538,108975,0,92,437,3019,34,136402,0,24454,111843,0,92,345,2582,17.2,78.8,0.0,0.1,0.2,1.8
E07000068,BRENTWOOD,36248,36118,95.7,52.5,52.5,52.5,52.5,0.1,0.2,0.5,3.9,0.1,97.9,0.8,34694,19031,19031,19029,19030,36,69,185,1424,27,35474,278,15663,19031,36,33,116,1239,43.2,52.5,0.1,0.1,0.3,3.4
W06000013,BRIDGEND,68011,67892,97.5,51.7,45.4,40.7,40.8,0.0,0.2,0.4,2.3,0.0,99.2,36.1,66296,35189,30884,27697,27722,32,112,275,1596,18,67472,24552,35412,30884,32,80,163,1321,52.1,45.4,0.0,0.1,0.2,1.9
E06000043,BRIGHTON AND HOVE,143066,141450,96.9,85.0,82.2,29.5,77.7,0.0,0.1,0.6,2.0,0.0,97.1,0.0,138565,121676,117541,42170,111114,22,121,820,2885,19,138877,0,21024,117541,22,99,699,2065,14.7,82.2,0.0,0.1,0.5,1.4
E06000023,"BRISTOL, CITY OF",213986,213065,96.1,91.4,91.3,59.2,90.0,0.0,0.1,0.7,3.5,0.0,96.2,0.0,205572,195551,195353,126605,192592,18,156,1505,7493,62,205870,0,10219,195353,18,138,1349,5988,4.8,91.3,0.0,0.1,0.6,2.8
E07000144,BROADLAND,62359,62214,95.3,50.8,49.3,23.3,48.5,0.2,0.4,1.1,4.4,0.7,99.0,0.1,59442,31663,30755,14514,30255,117,257,714,2772,450,61721,35,28687,30755,117,140,457,2058,46.0,49.3,0.2,0.2,0.7,3.3
E09000006,BROMLEY,147189,147025,98.4,90.5,90.3,38.1,88.9,0.0,0.1,0.2,1.5,0.0,98.9,0.0,144837,133211,132863,56035,130848,30,146,360,2188,26,145641,0,11974,132863,30,116,214,1828,8.1,90.3,0.0,0.1,0.1,1.2
E07000234,BROMSGROVE,45371,44981,97.2,76.6,76.6,56.6,76.4,0.0,0.2,0.4,2.0,0.2,98.8,0.1,44096,34749,34749,25671,34669,18,88,169,885,96,44828,41,9347,34749,18,70,81,716,20.6,76.6,0.0,0.2,0.2,1.6
E07000095,BROXBOURNE,43388,43329,98.6,88.6,85.9,7.3,81.0,0.1,0.1,0.2,1.3,0.0,99.3,0.0,42785,38435,37263,3162,35130,28,38,87,544,5,43074,0,5522,37263,28,10,49,457,12.7,85.9,0.1,0.0,0.1,1.1
E07000172,BROXTOWE,52682,52622,99.2,94.0,93.5,55.2,92.1,0.0,0.1,0.1,0.7,0.0,99.6,0.0,52238,49499,49276,29075,48500,11,31,72,384,4,52496,0,2962,49276,11,20,41,312,5.6,93.5,0.0,0.0,0.1,0.6
E06000060,BUCKINGHAMSHIRE,243854,242991,96.0,68.7,65.2,40.4,62.5,0.1,0.4,0.9,3.6,0.2,98.4,0.1,234185,167569,159074,98572,152515,282,1008,2262,8806,422,240058,332,75111,159074,282,726,1254,6544,30.8,65.2,0.1,0.3,0.5,2.7
E07000117,BURNLEY,45852,45723,97.9,80.6,80.6,12.1,80.6,0.0,0.1,0.3,1.8,0.0,99.3,61.1,44898,36945,36945,5532,36934,21,52,124,825,14,45509,28000,7953,36945,21,31,72,701,17.3,80.6,0.0,0.1,0.2,1.5
E08000002,BURY,90140,89848,98.6,82.4,79.0,68.9,74.9,0.0,0.1,0.1,1.0,0.0,99.6,0.0,88902,74237,71226,62084,67511,10,85,133,946,9,89778,0,17676,71226,10,75,48,813,19.6,79.0,0.0,0.1,0.1,0.9
W06000018,CAERPHILLY,83813,83555,98.5,42.9,40.4,38.6,38.6,0.0,0.1,0.2,1.2,0.0,99.6,46.6,82573,35954,33882,32365,32389,24,76,141,982,20,83436,39064,48691,33882,24,52,65,841,58.1,40.4,0.0,0.1,0.1,1.0
E08000033,CALDERDALE,104074,103884,95.1,52.9,52.8,15.3,52.7,0.1,0.4,0.6,4.7,0.0,98.5,43.0,99018,55067,54979,15950,54854,127,374,624,4866,45,102539,44741,44039,54979,127,247,250,4242,42.3,52.8,0.1,0.2,0.2,4.1
E07000008,CAMBRIDGE,60695,60527,98.6,93.4,92.2,61.9,90.5,0.0,0.0,0.1,1.2,0.0,98.7,0.0,59819,56704,55955,37548,54935,1,24,89,708,2,59889,0,3864,55955,1,23,65,619,6.4,92.2,0.0,0.0,0.1,1.0
E09000007,CAMDEN,123038,122276,97.2,92.8,92.6,70.0,91.4,0.0,0.0,0.0,2.2,0.0,97.3,0.0,119580,114130,113966,86080,112433,0,0,15,2696,3,119659,3,5614,113966,0,0,15,2681,4.6,92.6,0.0,0.0,0.0,2.2
E07000192,CANNOCK CHASE,48834,48592,98.3,81.1,81.0,60.7,80.9,0.0,0.1,0.2,1.2,0.1,99.3,0.0,48016,39617,39576,29660,39509,17,42,106,576,36,48511,0,8440,39576,17,25,64,470,17.3,81.0,0.0,0.1,0.1,1.0
E07000106,CANTERBURY,74492,72246,92.5,42.8,42.8,42.8,42.8,0.2,0.5,0.9,4.5,0.2,96.7,14.7,68881,31875,31874,31875,31875,132,368,700,3365,128,72000,10927,37007,31874,132,236,332,2665,49.7,42.8,0.2,0.3,0.4,3.6
W06000015,CARDIFF,168105,167371,97.8,88.7,87.2,60.0,85.7,0.0,0.2,0.5,1.7,0.0,98.3,61.3,164450,149166,146556,100813,144030,28,321,884,2921,16,165173,103016,17894,146556,28,293,563,2037,10.6,87.2,0.0,0.2,0.3,1.2
E07000028,CARLISLE,58303,58072,94.5,56.2,49.9,9.7,45.9,0.6,1.5,2.4,5.1,0.8,98.0,1.6,55100,32751,29111,5633,26767,373,860,1417,2972,457,57148,909,25989,29111,373,487,557,1555,44.6,49.9,0.6,0.8,1.0,2.7
W06000010,CARMARTHENSHIRE,94150,93320,89.3,45.9,45.9,46.0,46.0,1.3,3.0,4.9,9.8,1.5,94.5,1.7,84106,43254,43254,43310,43312,1245,2803,4630,9214,1408,88999,1617,40852,43254,1245,1558,1827,4584,43.4,45.9,1.3,1.7,1.9,4.9
E07000069,CASTLE POINT,41449,40990,98.0,44.3,44.3,3.6,41.0,0.0,0.1,0.2,0.9,0.3,98.5,0.0,40627,18369,18369,1509,17014,11,57,76,363,139,40841,0,22258,18369,11,46,19,287,53.7,44.3,0.0,0.1,0.0,0.7
N09000004,CAUSEWAY COAST AND GLENS,71093,69769,92.5,82.4,82.4,82.4,82.4,1.1,1.9,2.6,5.6,1.1,97.7,0.1,65772,58558,58558,58556,58557,787,1359,1855,3997,769,69479,37,7214,58558,787,572,496,2142,10.1,82.4,1.1,0.8,0.7,3.0
E06000056,CENTRAL BEDFORDSHIRE,136126,133067,95.1,74.5,72.6,28.5,71.1,0.1,0.4,0.8,2.6,0.1,97.0,0.1,129465,101347,98789,38773,96825,130,590,1055,3602,148,132035,119,30676,98789,130,460,465,2547,22.5,72.6,0.1,0.3,0.3,1.9
W06000008,CEREDIGION,37983,37626,85.7,27.3,27.3,27.3,27.3,1.7,4.4,7.7,13.3,2.4,92.2,6.3,32560,10367,10367,10367,10367,645,1679,2916,5066,906,35033,2411,22193,10367,645,1034,1237,2150,58.4,27.3,1.7,2.7,3.3,5.7
E07000130,CHARNWOOD,80533,80345,98.5,78.0,75.1,19.2,72.9,0.1,0.2,0.4,1.3,0.1,99.4,0.0,79329,62788,60486,15492,58707,106,201,329,1016,60,80075,0,18843,60486,106,95,128,687,23.4,75.1,0.1,0.1,0.2,0.9
E07000070,CHELMSFORD,83457,83203,96.1,67.7,65.4,48.0,63.0,0.1,0.2,0.7,3.6,0.1,98.4,1.5,80192,56542,54574,40088,52556,55,183,576,3011,43,82138,1244,25618,54574,55,128,393,2435,30.7,65.4,0.1,0.2,0.5,2.9
E07000078,CHELTENHAM,60441,60296,98.9,82.1,77.4,35.3,73.1,0.0,0.1,0.3,0.8,0.0,99.2,0.0,59790,49605,46790,21354,44201,6,80,153,506,9,59935,0,13000,46790,6,74,73,353,21.5,77.4,0.0,0.1,0.1,0.6
E07000177,CHERWELL,73577,73214,97.0,65.7,60.1,35.5,56.0,0.3,0.6,0.9,2.5,0.1,98.4,0.7,71373,48318,44203,26131,41170,214,428,661,1841,90,72429,482,27170,44203,214,214,233,1180,36.9,60.1,0.3,0.3,0.3,1.6
E06000049,CHESHIRE EAST,194761,194117,94.8,61.6,56.7,31.7,53.9,0.2,0.7,1.3,4.9,0.2,98.5,3.9,184606,119896,110524,61806,104959,421,1291,2458,9511,455,191799,7617,74082,110524,421,870,1167,7053,38.0,56.7,0.2,0.4,0.6,3.6
E06000050,CHESHIRE WEST AND CHESTER,172019,171641,96.0,68.1,63.0,56.0,59.7,0.1,0.5,1.0,3.8,0.1,99.0,0.5,165122,117219,108302,96298,102749,251,866,1647,6519,239,170339,778,56820,108302,251,615,781,4872,33.0,63.0,0.1,0.4,0.5,2.8
E07000034,CHESTERFIELD,54116,53941,97.2,56.3,56.3,25.6,56.2,0.0,0.0,0.2,2.5,0.0,99.0,0.0,52596,30486,30486,13847,30430,0,7,97,1345,8,53590,0,22110,30486,0,7,90,1248,40.9,56.3,0.0,0.0,0.2,2.3
E07000225,CHICHESTER,63259,62822,92.2,33.7,31.8,30.4,30.5,0.3,0.8,1.7,7.1,0.7,98.8,0.0,58347,21329,20144,19248,19269,187,475,1049,4475,414,62483,0,38203,20144,187,288,574,3426,60.4,31.8,0.3,0.5,0.9,5.4
E07000118,CHORLEY,55490,55360,96.7,74.5,72.5,49.4,70.7,0.0,0.2,0.5,3.0,0.0,99.2,35.0,53669,41355,40255,27395,39231,9,113,294,1691,14,55045,19421,13414,40255,9,104,181,1397,24.2,72.5,0.0,0.2,0.3,2.5
S12000036,CITY OF EDINBURGH,280952,280393,97.6,90.4,89.2,66.5,87.9,0.0,0.1,0.4,2.2,0.0,98.0,0.0,274286,253867,250707,186801,246993,105,381,1145,6107,31,275244,4,23579,250707,105,276,764,4962,8.4,89.2,0.0,0.1,0.3,1.8
E09000001,CITY OF LONDON,10932,10711,58.7,50.6,50.6,49.1,49.9,0.0,0.0,0.0,39.3,0.0,58.7,0.0,6417,5533,5533,5369,5450,0,0,0,4294,2,6417,1,884,5533,0,0,0,4294,8.1,50.6,0.0,0.0,0.0,39.3
S12000005,CLACKMANNANSHIRE,26637,26595,98.4,65.1,59.1,56.7,56.7,0.1,0.2,0.4,1.5,0.1,99.7,0.0,26207,17329,15746,15110,15110,25,52,98,388,36,26563,0,10461,15746,25,27,46,290,39.3,59.1,0.1,0.1,0.2,1.1
E07000071,COLCHESTER,89215,88261,96.2,66.3,66.2,22.8,66.2,0.1,0.5,0.9,2.7,0.3,97.6,43.9,85864,59121,59065,20297,59045,92,452,799,2397,241,87096,39132,26799,59065,92,360,347,1598,30.0,66.2,0.1,0.4,0.4,1.8
W06000003,CONWY,59918,59697,95.0,40.4,40.4,40.4,40.4,0.6,1.4,2.4,4.6,0.9,97.6,57.8,56938,24196,24196,24197,24197,368,825,1455,2759,520,58508,34620,32742,24196,368,457,630,1304,54.6,40.4,0.6,0.8,1.1,2.2
E07000029,COPELAND,35997,35893,95.0,2.7,2.7,2.7,2.7,0.3,0.7,1.2,4.7,0.9,99.0,0.0,34184,957,957,957,957,100,237,448,1709,326,35650,0,33227,957,100,137,211,1261,92.3,2.7,0.3,0.4,0.6,3.5
E06000052,CORNWALL,305041,302951,88.6,44.2,43.1,40.3,42.4,0.3,0.9,2.0,10.7,0.5,93.7,12.8,270393,134955,131442,123069,129259,839,2661,6124,32558,1417,285678,39017,138951,131442,839,1822,3463,26434,45.6,43.1,0.3,0.6,1.1,8.7
E07000079,COTSWOLD,48203,48004,94.9,46.9,46.7,46.6,46.6,0.1,0.4,1.1,4.7,0.3,96.5,0.4,45741,22586,22522,22458,22459,54,208,519,2263,131,46509,202,23219,22522,54,154,311,1744,48.2,46.7,0.1,0.3,0.6,3.6
E06000047,COUNTY DURHAM,263216,262474,95.3,53.1,51.2,48.3,49.9,0.3,0.7,1.2,4.5,0.2,99.0,0.7,250753,139677,134815,127260,131397,816,1875,3061,11721,572,260598,1794,115938,134815,816,1059,1186,8660,44.0,51.2,0.3,0.4,0.5,3.3
E08000026,COVENTRY,150692,150311,98.6,96.7,96.7,94.9,96.7,0.0,0.2,0.5,1.1,0.0,98.7,0.0,148586,145791,145789,143026,145656,2,279,716,1725,21,148668,0,2797,145789,2,277,437,1009,1.9,96.7,0.0,0.2,0.3,0.7
E07000163,CRAVEN,30719,30548,93.8,36.1,32.6,30.3,30.3,0.8,1.3,2.2,5.6,0.5,98.0,45.1,28817,11090,10024,9296,9308,249,402,677,1731,142,30093,13839,18793,10024,249,153,275,1054,61.2,32.6,0.8,0.5,0.9,3.4
E07000226,CRAWLEY,50128,49877,98.5,87.2,87.2,25.4,86.6,0.0,0.1,0.2,1.0,0.4,98.9,0.0,49380,43720,43720,12731,43410,21,44,111,497,190,49591,0,5660,43720,21,23,67,386,11.3,87.2,0.0,0.0,0.1,0.8
E09000008,CROYDON,170907,170415,96.3,86.3,86.3,43.8,84.5,0.0,0.0,0.3,3.4,0.0,96.8,0.0,164641,147546,147543,74904,144331,4,73,435,5774,17,165479,0,17098,147543,4,69,362,5339,10.0,86.3,0.0,0.0,0.2,3.1
E07000096,DACORUM,69810,69560,96.9,80.8,79.2,43.5,78.0,0.1,0.3,0.5,2.7,0.1,98.9,0.0,67666,56380,55267,30347,54480,44,236,367,1894,58,69042,0,12399,55267,44,192,131,1527,17.8,79.2,0.1,0.3,0.2,2.2
E06000005,DARLINGTON,55716,55498,95.7,86.1,85.8,18.9,85.5,0.7,1.6,2.3,4.0,0.4,97.0,10.0,53296,47970,47822,10535,47663,385,907,1293,2202,218,54019,5588,5474,47822,385,522,386,909,9.8,85.8,0.7,0.9,0.7,1.6
E07000107,DARTFORD,50732,50686,97.3,76.0,74.6,41.4,73.1,0.1,0.3,0.6,2.6,0.0,98.7,0.0,49385,38560,37829,20996,37073,38,176,327,1301,7,50061,0,11556,37829,38,138,151,974,22.8,74.6,0.1,0.3,0.3,1.9
W06000004,DENBIGHSHIRE,50290,50026,92.8,62.2,62.2,62.2,62.2,0.7,1.7,3.0,6.7,0.6,96.0,30.2,46664,31269,31269,31271,31271,328,841,1485,3362,299,48259,15179,15395,31269,328,513,644,1877,30.6,62.2,0.7,1.0,1.3,3.7
E06000015,DERBY,120394,119701,98.8,95.2,94.8,67.1,94.4,0.0,0.0,0.1,0.6,0.0,98.9,0.0,118935,114667,114112,80834,113616,1,37,164,766,20,119056,0,4823,114112,1,36,127,602,4.0,94.8,0.0,0.0,0.1,0.5
