laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
E07000084,BASINGSTOKE AND DEANE,82412,82051,95.5,59.2,57.1,28.9,56.8,0.2,0.5,1.0,4.1,0.4,98.0,0.0,78672,48828,47085,23808,46835,130,440,832,3379,317,80766,0,31587,47085,130,310,392,2547,38.3,57.1,0.2,0.4,0.5,3.1
E07000171,BASSETLAW,57393,56911,95.2,35.5,33.7,10.2,10.2,0.4,0.8,1.2,3.9,0.3,98.5,21.7,54645,20381,19320,5880,5881,233,440,712,2266,184,56540,12428,35325,19320,233,207,272,1554,61.5,33.7,0.4,0.4,0.5,2.7
E06000022,BATH AND NORTH EAST SOMERSET,89008,88610,94.0,67.8,61.4,33.6,33.7,0.1,0.2,0.6,5.6,0.1,96.0,0.0,83666,60315,54618,29933,29975,98,197,556,4944,132,85490,1,29048,54618,98,99,359,4388,32.6,61.4,0.1,0.1,0.4,4.9
E06000055,BEDFORD,82088,81811,96.8,77.0,73.6,16.4,35.5,0.2,0.4,0.8,2.9,0.1,98.6,0.0,79466,63207,60414,13459,29139,134,332,634,2345,91,80930,1,19052,60414,134,198,302,1711,23.2,73.6,0.2,0.2,0.4,2.1
N09000003,BELFAST,167277,166000,98.1,92.5,92.3,80.1,92.3,0.0,0.1,0.3,1.1,0.3,98.3,0.0,164119,154760,154377,134027,154378,41,123,570,1881,532,164401,0,9742,154377,41,82,447,1311,5.8,92.3,0.0,0.0,0.3,0.8
E09000004,BEXLEY,103683,103383,97.5,82.3,81.3,45.0,80.8,0.0,0.1,0.6,2.2,0.0,98.1,0.0,101124,85346,84304,46677,83731,3,104,626,2259,6,101713,0,16820,84304,3,101,522,1633,16.2,81.3,0.0,0.1,0.5,1.6
E08000025,BIRMINGHAM,474961,471159,95.2,89.9,88.6,38.7,88.0,0.0,0.1,0.8,4.0,0.0,95.3,0.0,452173,426787,420836,183851,417774,33,678,3571,18986,57,452539,0,31337,420836,33,645,2893,15415,6.6,88.6,0.0,0.1,0.6,3.2
E07000129,BLABY,45540,45416,97.7,72.7,70.0,33.5,33.5,0.1,0.2,0.3,2.1,0.0,98.7,0.0,44479,33103,31888,15265,15265,32,97,141,937,16,44956,0,12591,31888,32,65,44,796,27.6,70.0,0.1,0.1,0.1,1.7
E06000008,BLACKBURN WITH DARWEN,67629,67273,97.2,69.3,68.8,11.7,11.8,0.0,0.2,0.4,2.3,0.0,98.7,69.9,65742,46840,46550,7939,7957,22,154,268,1531,33,66742,47244,19192,46550,22,132,114,1263,28.4,68.8,0.0,0.2,0.2,1.9
E06000009,BLACKPOOL,77800,77529,98.4,71.0,70.8,0.9,0.9,0.0,0.0,0.0,1.3,0.0,98.6,9.0,76532,55244,55068,736,737,1,10,33,997,1,76676,7026,21464,55068,1,9,23,964,27.6,70.8,0.0,0.0,0.0,1.2
W06000019,BLAENAU GWENT,35332,35200,96.2,5.3,3.9,2.8,2.8,0.0,0.3,0.7,3.4,0.2,99.2,0.1,33986,1888,1379,974,974,15,93,238,1214,55,35041,18,32607,1379,15,78,145,976,92.3,3.9,0.0,0.2,0.4,2.8
E07000033,BOLSOVER,39144,38984,94.4,42.9,38.0,15.0,15.0,0.0,0.2,0.3,5.2,0.1,98.3,0.0,36967,16805,14868,5860,5860,16,59,137,2017,54,38497,0,22099,14868,16,43,78,1880,56.5,38.0,0.0,0.1,0.2,4.8
E08000001,BOLTON,133889,133286,98.1,88.0,86.4,13.1,85.3,0.0,0.1,0.3,1.4,0.1,98.9,3.4,131345,117827,115746,17534,114245,23,132,346,1941,67,132443,4588,15599,115746,23,109,214,1595,11.7,86.4,0.0,0.1,0.2,1.2
E07000136,BOSTON,33401,33141,91.3,9.3,9.3,9.3,9.3,0.6,1.4,2.2,7.9,0.6,97.4,34.0,30489,3121,3120,3121,3121,213,474,743,2652,207,32516,11342,27369,3120,213,261,269,1909,81.9,9.3,0.6,0.8,0.8,5.7
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",198639,197291,97.9,82.0,79.6,31.8,47.7,0.2,0.2,0.3,1.4,0.1,98.8,0.2,194513,162961,158189,63121,94740,332,373,625,2778,127,196310,315,36324,158189,332,41,252,2153,18.3,79.6,0.2,0.0,0.1,1.1
E06000036,BRACKNELL FOREST,54677,54373,96.2,63.3,59.7,12.1,57.7,0.0,0.1,0.7,3.2,0.1,97.6,0.0,52599,34614,32644,6635,31552,14,55,380,1774,34,53379,3,19955,32644,14,41,325,1394,36.5,59.7,0.0,0.1,0.6,2.5
E08000032,BRADFORD,221171,220206,96.4,82.2,80.0,7.9,76.8,0.1,0.2,0.4,3.2,0.0,97.8,31.6,213128,181745,177005,17464,169849,145,470,949,7078,27,216229,69904,36123,177005,145,325,479,6129,16.3,80.0,0.1,0.1,0.2,2.8
E07000067,BRAINTREE,71310,70882,95.2,24.5,24.5,24.5,24.5,0.3,0.6,1.1,4.2,0.3,97.7,11.3,67856,17496,17496,17462,17462,191,460,762,3026,189,69658,8087,50360,17496,191,269,302,2264,70.6,24.5,0.3,0.4,0.4,3.2
E07000143,BRECKLAND,66646,66296,90.9,32.4,30.8,29.5,29.5,0.7,1.7,2.9,8.6,1.8,97.8,0.0,60580,21598,20521,19692,19692,455,1141,1938,5716,1171,65185,2,40059,20521,455,686,797,3778,60.1,30.8,0.7,1.0,1.2,5.7
E09000005,BRENT,138200,136659,96.2,77.8,74.8,39.1,73.5,0.0,0.3,0.7,2.7,0.0,96.2,0.0,132911,107459,103422,54038,101615,3,439,1005,3748,1,132976,0,29489,103422,3,436,566,2743,21.3,74.8,0.0,0.3,0.4,2.0
E07000068,BRENTWOOD,35725,35437,95.2,42.2,42.2,42.2,42.2,0.1,0.3,0.6,3.9,0.2,98.2,0.1,34026,15082,15081,15080,15080,31,113,231,1411,54,35095,46,18945,15081,31,82,118,1180,53.0,42.2,0.1,0.2,0.3,3.3
W06000013,BRIDGEND,67650,67383,97.2,46.9,39.5,35.0,35.0,0.0,0.1,0.5,2.4,0.0,98.9,36.3,65742,31706,26742,23660,23685,33,84,347,1641,16,66932,24552,39000,26742,33,51,263,1294,57.6,39.5,0.0,0.1,0.4,1.9
E06000043,BRIGHTON AND HOVE,142905,141453,97.0,84.3,80.8,14.2,14.2,0.0,0.1,0.7,2.0,0.0,97.2,0.0,138593,120489,115400,20262,20263,4,212,981,2860,9,138885,1,23193,115400,4,208,769,1879,16.2,80.8,0.0,0.1,0.5,1.3
E06000023,"BRISTOL, CITY OF",211568,210091,95.6,90.0,89.0,50.4,83.1,0.0,0.1,0.5,3.7,0.1,95.8,0.0,202334,190342,188379,106588,175903,12,150,997,7757,232,202668,38,13955,188379,12,138,847,6760,6.6,89.0,0.0,0.1,0.4,3.2
E07000144,BROADLAND,61660,61363,94.1,44.4,41.0,8.7,8.7,0.3,0.7,1.4,5.4,1.2,98.5,0.0,58020,27364,25265,5353,5360,170,461,894,3343,714,60705,0,32755,25265,170,291,433,2449,53.1,41.0,0.3,0.5,0.7,4.0
E09000006,BROMLEY,146753,146430,97.7,88.2,87.9,21.4,87.2,0.0,0.2,0.4,2.1,0.0,98.6,0.0,143393,129435,129042,31368,127908,51,313,600,3037,61,144658,0,14351,129042,51,262,287,2437,9.8,87.9,0.0,0.2,0.2,1.7
E07000234,BROMSGROVE,45158,44898,96.9,73.7,73.6,53.6,73.6,0.0,0.3,0.6,2.5,0.1,99.1,0.1,43774,33281,33245,24196,33245,21,135,256,1124,60,44753,41,10529,33245,21,114,121,868,23.3,73.6,0.0,0.3,0.3,1.9
E07000095,BROXBOURNE,43132,43075,98.6,88.1,84.6,5.3,5.3,0.1,0.1,0.2,1.3,0.0,99.3,0.0,42519,37999,36479,2273,2273,25,35,98,556,3,42819,0,6040,36479,25,10,63,458,14.0,84.6,0.1,0.0,0.1,1.1
E07000172,BROXTOWE,52418,52267,98.7,91.6,90.7,11.6,11.6,0.0,0.1,0.2,1.0,0.0,99.4,0.0,51747,48039,47561,6062,6062,14,51,103,520,3,52094,0,4186,47561,14,37,52,417,8.0,90.7,0.0,0.1,0.1,0.8
E06000060,BUCKINGHAMSHIRE,241658,240108,94.4,54.4,49.2,20.4,37.3,0.1,0.7,1.5,5.0,0.3,97.9,0.1,228136,131393,119003,49247,90178,274,1717,3526,11972,729,236699,225,109133,119003,274,1443,1809,8446,45.2,49.2,0.1,0.6,0.7,3.5
E07000117,BURNLEY,45504,45290,97.8,79.0,79.0,1.9,79.0,0.1,0.1,0.3,1.7,0.0,99.1,61.2,44499,35940,35932,857,35931,31,50,123,791,15,45104,27833,8567,35932,31,19,73,668,18.8,79.0,0.1,0.0,0.2,1.5
E08000002,BURY,89944,88683,97.4,77.8,73.7,59.9,69.8,0.0,0.1,0.2,1.2,0.2,98.5,0.0,87591,70012,66245,53864,62806,11,81,151,1092,139,88588,0,21346,66245,11,70,70,941,23.7,73.7,0.0,0.1,0.1,1.0
W06000018,CAERPHILLY,83507,83151,97.9,33.2,30.5,28.6,28.6,0.1,0.1,0.2,1.7,0.0,99.4,46.8,81770,27724,25475,23909,23916,42,107,208,1381,34,82984,39105,56295,25475,42,65,101,1173,67.4,30.5,0.1,0.1,0.1,1.4
E08000033,CALDERDALE,103810,103274,94.6,52.2,52.1,14.3,14.3,0.1,0.4,0.7,4.9,0.1,98.3,0.0,98180,54227,54069,14800,14801,111,376,699,5094,76,102023,27,44111,54069,111,265,323,4395,42.5,52.1,0.1,0.3,0.3,4.2
E07000008,CAMBRIDGE,60178,60029,98.6,92.1,90.0,40.9,40.9,0.0,0.0,0.1,1.1,0.0,98.7,0.0,59361,55405,54148,24594,24594,1,20,77,668,2,59393,0,5213,54148,1,19,57,591,8.7,90.0,0.0,0.0,0.1,1.0
E09000007,CAMDEN,122119,120911,96.8,91.5,89.9,59.9,90.0,0.0,0.0,0.0,2.2,0.0,96.8,0.0,118183,111703,109798,73188,109904,0,0,8,2728,0,118187,3,8385,109798,0,0,8,2720,6.9,89.9,0.0,0.0,0.0,2.2
E07000192,CANNOCK CHASE,48031,47774,97.5,36.8,36.7,15.5,36.5,0.0,0.1,0.2,2.0,0.1,99.2,0.0,46810,17664,17619,7437,17555,16,38,105,964,58,47632,0,29191,17619,16,22,67,859,60.8,36.7,0.0,0.0,0.1,1.8
E07000106,CANTERBURY,73862,73401,93.6,10.7,10.7,10.7,10.7,0.2,0.5,1.1,5.8,0.2,99.0,14.7,69108,7910,7909,7910,7910,154,406,776,4293,170,73109,10856,61199,7909,154,252,370,3517,82.9,10.7,0.2,0.3,0.5,4.8
W06000015,CARDIFF,166560,165693,97.5,86.3,83.9,47.9,82.3,0.0,0.2,0.5,2.0,0.0,98.0,61.9,162417,143748,139726,79705,137136,32,333,866,3276,22,163206,103019,22691,139726,32,301,533,2410,13.6,83.9,0.0,0.2,0.3,1.4
E07000028,CARLISLE,57604,57228,94.0,54.6,48.3,6.5,6.5,0.7,1.5,2.5,5.4,1.2,97.6,0.0,54140,31475,27831,3736,3736,409,863,1416,3088,690,56242,18,26309,27831,409,454,553,1672,45.7,48.3,0.7,0.8,1.0,2.9
W06000010,CARMARTHENSHIRE,93442,92347,86.5,33.0,33.0,33.0,33.0,1.9,4.2,6.5,12.3,2.4,93.0,1.1,80815,30878,30878,30874,30878,1767,3914,6103,11532,2257,86943,1071,49937,30878,1767,2147,2189,5429,53.4,33.0,1.9,2.3,2.3,5.8
E07000069,CASTLE POINT,41073,40716,98.3,44.2,44.2,2.8,2.8,0.0,0.1,0.2,0.8,0.0,98.8,0.0,40380,18157,18135,1164,1164,13,41,66,336,8,40565,0,22245,18135,13,28,25,270,54.2,44.2,0.0,0.1,0.1,0.7
N09000004,CAUSEWAY COAST AND GLENS,66059,64583,87.1,64.4,64.4,64.4,64.4,1.9,3.6,4.9,10.6,3.1,97.3,0.0,57552,42523,42521,42519,42521,1269,2392,3256,7031,2070,64275,0,15031,42521,1269,1123,864,3775,22.8,64.4,1.9,1.7,1.3,5.7
E06000056,CENTRAL BEDFORDSHIRE,135595,130828,93.9,71.3,68.6,20.9,20.9,0.1,0.4,0.8,2.5,0.5,95.9,0.2,127384,96626,93064,28275,28354,131,567,1047,3444,628,129992,273,34320,93064,131,436,480,2397,25.3,68.6,0.1,0.3,0.4,1.8
W06000008,CEREDIGION,37692,37326,81.2,21.8,21.8,21.8,21.8,2.8,6.4,10.6,17.8,4.5,89.3,0.4,30609,8230,8230,8230,8230,1074,2428,4004,6717,1702,33648,156,22379,8230,1074,1354,1576,2713,59.4,21.8,2.8,3.6,4.2,7.2
E07000130,CHARNWOOD,79866,79645,98.4,76.0,72.9,16.0,16.0,0.1,0.2,0.4,1.3,0.1,99.4,0.0,78570,60665,58259,12798,12798,93,181,331,1075,79,79363,0,20311,58259,93,88,150,744,25.4,72.9,0.1,0.1,0.2,0.9
E07000070,CHELMSFORD,82549,82265,95.2,64.0,61.2,41.8,41.8,0.1,0.4,0.8,4.4,0.1,98.1,1.4,78618,52856,50487,34507,34507,49,331,663,3647,112,81018,1174,28131,50487,49,282,332,2984,34.1,61.2,0.1,0.3,0.4,3.6
E07000078,CHELTENHAM,60189,60016,98.7,76.0,68.6,4.5,63.4,0.0,0.1,0.3,1.0,0.0,99.0,0.0,59391,45772,41318,2705,38130,17,55,159,625,5,59616,0,18073,41318,17,38,104,466,30.0,68.6,0.0,0.1,0.2,0.8
E07000177,CHERWELL,72202,71576,96.0,50.5,41.6,14.6,14.6,0.3,0.5,1.0,3.1,0.2,98.1,0.4,69323,36442,30071,10576,10576,189,351,746,2253,128,70798,254,39252,30071,189,162,395,1507,54.4,41.6,0.3,0.2,0.5,2.1
E06000049,CHESHIRE EAST,191689,190656,94.0,51.9,45.9,18.1,26.0,0.3,0.8,1.5,5.5,0.3,98.2,3.9,180114,99515,87966,34666,49819,529,1465,2826,10542,632,188216,7524,92148,87966,529,936,1361,7716,48.1,45.9,0.3,0.5,0.7,4.0
E06000050,CHESHIRE WEST AND CHESTER,170402,169770,95.2,55.3,48.9,31.8,31.8,0.1,0.6,1.1,4.4,0.2,98.7,0.5,162196,94307,83352,54254,54254,244,992,1959,7574,338,168119,770,78844,83352,244,748,967,5615,46.3,48.9,0.1,0.4,0.6,3.3
E07000034,CHESTERFIELD,53481,53294,97.0,54.8,54.2,23.8,23.8,0.0,0.0,0.2,2.7,0.0,98.9,0.0,51862,29333,28986,12748,12748,0,14,100,1432,5,52904,0,22876,28986,0,14,86,1332,42.8,54.2,0.0,0.0,0.2,2.5
E07000225,CHICHESTER,62718,61911,90.3,25.9,23.6,22.0,22.0,0.3,0.9,2.0,8.4,0.9,97.9,0.0,56622,16234,14823,13829,13829,201,582,1237,5289,590,61408,0,41799,14823,201,381,655,4052,66.6,23.6,0.3,0.6,1.0,6.5
E07000118,CHORLEY,55031,54767,95.8,64.4,61.4,19.2,19.2,0.1,0.2,0.6,3.7,0.1,98.9,35.2,52741,35458,33772,10545,10546,28,123,329,2026,50,54443,19361,18969,33772,28,95,206,1697,34.5,61.4,0.1,0.2,0.4,3.1
S12000036,CITY OF EDINBURGH,266242,265798,97.6,88.6,86.8,53.8,85.8,0.0,0.2,0.4,2.2,0.0,98.0,0.0,259916,235796,231028,143123,228362,113,423,1029,5882,55,261018,5,28888,231028,113,310,606,4853,10.9,86.8,0.0,0.1,0.2,1.8
E09000001,CITY OF LONDON,10887,10727,56.5,47.7,47.0,46.3,47.0,0.0,0.0,0.0,42.0,0.0,56.5,0.0,6154,5192,5122,5044,5119,0,0,0,4573,1,6154,1,1032,5122,0,0,0,4573,9.5,47.0,0.0,0.0,0.0,42.0
S12000005,CLACKMANNANSHIRE,25947,25814,95.5,34.9,25.1,21.1,21.1,0.1,0.2,0.4,4.0,0.2,99.3,0.0,24785,9059,6514,5474,5474,29,50,106,1029,40,25760,0,18271,6514,29,21,56,923,70.4,25.1,0.1,0.1,0.2,3.6
E07000071,COLCHESTER,88324,87438,95.8,61.0,60.9,15.9,15.9,0.1,0.7,1.0,3.2,0.2,97.5,7.6,84591,53914,53769,14034,14034,100,583,925,2847,146,86144,6701,30822,53769,100,483,342,1922,34.9,60.9,0.1,0.5,0.4,2.2
W06000003,CONWY,59437,59293,94.2,10.1,10.1,10.1,10.1,0.7,1.7,2.9,5.5,1.2,97.6,58.3,55999,6020,6020,6020,6020,427,1018,1724,3294,725,57986,34645,49979,6020,427,591,706,1570,84.1,10.1,0.7,1.0,1.2,2.6
E07000029,COPELAND,35763,35589,94.6,1.9,1.9,1.9,1.9,0.3,0.8,1.4,4.9,1.2,98.9,0.0,33820,668,668,668,668,116,269,499,1769,439,35360,0,33152,668,116,153,230,1270,92.7,1.9,0.3,0.4,0.6,3.6
E06000052,CORNWALL,302039,298727,86.9,36.8,35.5,32.6,32.6,0.3,1.0,2.4,12.0,0.8,92.3,4.5,262390,111073,107179,98588,98588,937,3069,7188,36337,2542,278806,13465,155211,107179,937,2132,4119,29149,51.4,35.5,0.3,0.7,1.4,9.7
E07000079,COTSWOLD,47703,47331,93.1,39.6,39.3,39.2,39.2,0.1,0.6,1.4,6.1,0.8,95.1,0.2,44420,18878,18740,18684,18685,60,298,657,2911,395,45347,83,25680,18740,60,238,359,2254,53.8,39.3,0.1,0.5,0.8,4.7
E06000047,COUNTY DURHAM,260440,259407,94.4,43.4,40.6,37.6,37.6,0.3,0.8,1.4,5.2,0.4,98.8,0.1,245820,112915,105843,97852,97852,863,2072,3530,13587,963,257330,178,139977,105843,863,1209,1458,10057,53.7,40.6,0.3,0.5,0.6,3.9
E08000026,COVENTRY,149032,148442,98.3,94.4,94.1,91.5,94.1,0.0,0.3,0.5,1.3,0.0,98.4,0.0,146531,140652,140237,136380,140241,4,414,682,1911,11,146644,0,6294,140237,4,410,268,1229,4.2,94.1,0.0,0.3,0.2,0.8
E07000163,CRAVEN,30353,30088,92.5,23.3,18.0,13.1,13.2,1.0,1.7,2.7,6.7,0.7,97.3,44.9,28069,7070,5450,3986,3999,299,522,832,2019,202,29548,13624,22619,5450,299,223,310,1187,74.5,18.0,1.0,0.7,1.0,3.9
E07000226,CRAWLEY,49420,49344,98.7,85.8,84.8,6.7,6.8,0.0,0.1,0.3,1.1,0.0,99.3,0.0,48785,42394,41894,3327,3343,6,45,132,559,5,49053,0,6891,41894,6,39,87,427,13.9,84.8,0.0,0.1,0.2,0.9
E09000008,CROYDON,169191,168357,95.9,85.2,84.1,28.0,84.0,0.0,0.1,0.3,3.6,0.0,96.5,0.0,162284,144072,142284,47456,142165,1,90,503,6073,25,163280,0,20000,142284,1,89,413,5570,11.8,84.1,0.0,0.1,0.2,3.3
E07000096,DACORUM,69128,68837,96.5,77.4,75.4,19.1,19.1,0.1,0.4,0.7,3.1,0.1,98.7,0.0,66727,53533,52156,13221,13222,89,265,455,2110,70,68222,0,14571,52156,89,176,190,1655,21.1,75.4,0.1,0.3,0.3,2.4
E06000005,DARLINGTON,54733,54599,95.1,84.5,84.1,3.7,3.7,0.7,1.8,2.7,4.7,0.2,96.6,11.2,52047,46237,46010,2003,2018,369,976,1470,2552,99,52865,6130,6037,46010,369,607,494,1082,11.0,84.1,0.7,1.1,0.9,2.0
E07000107,DARTFORD,50193,50111,96.8,75.2,73.6,40.0,72.2,0.3,0.6,1.0,3.0,0.0,98.6,0.0,48597,37761,36947,20055,36221,142,310,481,1514,8,49475,0,11650,36947,142,168,171,1033,23.2,73.6,0.3,0.3,0.3,2.1
W06000004,DENBIGHSHIRE,50084,49588,90.2,23.6,23.6,23.6,23.6,0.8,1.9,3.9,8.8,1.2,94.4,30.5,45173,11822,11822,11822,11822,398,973,1955,4415,588,47284,15257,33351,11822,398,575,982,2460,66.6,23.6,0.8,1.1,2.0,4.9
E06000015,DERBY,119722,119327,98.6,93.3,92.3,46.9,46.9,0.0,0.0,0.2,1.1,0.0,98.8,0.0,118023,111720,110520,56142,56181,12,33,180,1304,0,118242,0,7503,110520,12,21,147,1124,6.3,92.3,0.0,0.0,0.1,0.9
