laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,127714,126771,94.7,66.6,62.1,58.4,58.4,0.1,0.2,0.5,4.6,0.1,96.4,0.0,120938,85048,79372,74618,74618,67,211,628,5833,93,123177,0,41566,79372,67,144,417,5205,32.5,62.1,0.1,0.1,0.3,4.1
S12000034,ABERDEENSHIRE,126481,125378,82.8,13.8,13.7,13.7,13.7,2.5,5.7,9.2,16.3,3.7,94.4,0.0,104761,17459,17366,17269,17269,3202,7186,11631,20617,4727,119421,0,87395,17366,3202,3984,4445,8986,69.1,13.7,2.5,3.1,3.5,7.1
E07000223,ADUR,29884,29793,98.6,85.9,85.6,1.8,1.8,0.0,0.0,0.1,1.1,0.0,99.3,0.0,29476,25660,25581,538,538,4,13,36,317,8,29670,0,3895,25581,4,9,23,281,13.0,85.6,0.0,0.0,0.1,0.9
E07000026,ALLERDALE,51933,51622,92.3,3.4,3.4,3.4,3.4,1.1,2.1,3.1,7.1,1.0,98.4,0.0,47922,1750,1750,1750,1750,595,1098,1612,3700,518,51077,0,46172,1750,595,503,514,2088,88.9,3.4,1.1,1.0,1.0,4.0
E07000032,AMBER VALLEY,61555,61161,95.1,31.4,27.9,25.2,25.2,0.1,0.3,0.6,4.3,0.2,98.7,0.0,58516,19334,17177,15512,15512,61,190,379,2645,132,60771,1,41339,17177,61,129,189,2266,67.2,27.9,0.1,0.2,0.3,3.7
S12000041,ANGUS,61105,60447,86.7,23.6,23.5,11.3,11.3,1.4,3.7,6.8,12.2,2.2,95.0,0.0,52987,14438,14351,6934,6934,870,2279,4183,7460,1340,58059,0,38636,14351,870,1409,1904,3277,63.2,23.5,1.4,2.3,3.1,5.4
N09000001,ANTRIM AND NEWTOWNABBEY,60690,59971,92.3,81.1,81.0,72.6,81.0,1.5,2.7,3.3,6.5,1.5,98.6,0.0,56015,49208,49167,44090,49154,933,1617,2018,3956,917,59841,0,6848,49167,933,684,401,1938,11.3,81.0,1.5,1.1,0.7,3.2
N09000011,ARDS AND NORTH DOWN,72688,72463,95.1,81.8,81.8,80.2,81.8,0.6,1.1,1.9,4.6,0.7,99.5,0.0,69095,59464,59460,58289,59460,406,768,1397,3368,512,72312,0,9635,59460,406,362,629,1971,13.3,81.8,0.6,0.5,0.9,2.7
S12000035,ARGYLL AND BUTE,56695,54885,78.1,1.8,1.8,1.8,1.8,3.1,6.0,9.9,18.7,7.3,88.5,0.0,44270,1017,1017,1016,1017,1780,3403,5633,10615,4156,50167,0,43253,1017,1780,1623,2230,4982,76.3,1.8,3.1,2.9,3.9,8.8
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",85913,85418,88.8,68.7,68.7,68.7,68.7,1.4,3.0,4.6,10.6,2.0,98.3,0.2,76281,59056,59012,59055,59055,1238,2558,3934,9137,1736,84426,136,17269,59012,1238,1320,1376,5203,20.1,68.7,1.4,1.5,1.6,6.1
E07000224,ARUN,79522,79179,96.1,17.8,14.1,11.9,11.9,0.1,0.1,0.3,3.5,0.1,99.3,0.0,76399,14169,11202,9425,9425,64,118,268,2780,70,78962,0,65197,11202,64,54,150,2512,82.0,14.1,0.1,0.1,0.2,3.2
E07000170,ASHFIELD,59573,59296,97.9,87.6,87.1,8.6,8.6,0.0,0.4,0.5,1.6,0.0,98.7,0.0,58340,52181,51878,5127,5127,11,216,273,956,23,58823,0,6462,51878,11,205,57,683,10.8,87.1,0.0,0.3,0.1,1.1
E07000105,ASHFORD,59240,58832,90.8,51.7,48.8,11.9,44.8,0.3,1.5,3.1,8.5,0.7,98.0,34.8,53794,30656,28923,7045,26511,166,910,1855,5038,433,58076,20602,24871,28923,166,744,945,3183,42.0,48.8,0.3,1.3,1.6,5.4
E07000200,BABERGH,43587,43170,93.3,16.0,15.8,11.7,11.7,0.3,0.7,1.1,5.7,0.4,98.3,8.0,40670,6994,6879,5102,5102,144,324,484,2500,192,42863,3487,33791,6879,144,180,160,2016,77.5,15.8,0.3,0.4,0.4,4.6
E09000002,BARKING AND DAGENHAM,80564,80487,98.5,90.3,90.2,52.0,89.1,0.0,0.4,0.8,1.4,0.0,98.5,0.0,79342,72777,72653,41929,71797,24,339,612,1145,20,79364,0,6689,72653,24,315,273,533,8.3,90.2,0.0,0.4,0.3,0.7
E09000003,BARNET,160129,159573,97.2,62.1,58.9,23.2,56.6,0.0,0.0,0.1,2.4,0.0,98.2,0.0,155713,99519,94260,37214,90700,0,22,163,3860,12,157264,0,61453,94260,0,22,141,3697,38.4,58.9,0.0,0.0,0.1,2.3
E08000016,BARNSLEY,118373,117865,97.9,70.1,67.2,24.7,24.7,0.1,0.2,0.4,1.7,0.0,98.9,10.8,115890,83001,79576,29287,29290,90,274,430,1975,20,117083,12759,36314,79576,90,184,156,1545,30.7,67.2,0.1,0.2,0.1,1.3
E07000027,BARROW-IN-FURNESS,35656,35522,98.2,5.2,5.2,5.2,5.2,0.2,0.2,0.4,1.4,0.1,99.6,0.3,35014,1841,1841,1841,1841,54,81,133,508,35,35510,101,33173,1841,54,27,52,375,93.0,5.2,0.2,0.1,0.1,1.1
E07000066,BASILDON,83748,83502,97.9,81.5,79.3,29.4,29.4,0.0,0.2,0.5,1.8,0.0,99.2,0.0,82030,68261,66372,24596,24596,24,151,384,1472,11,83052,0,15658,66372,24,127,233,1088,18.7,79.3,0.0,0.2,0.3,1.3
