laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E06000001,Hartlepool,9345,47125,665,0,565,0.07,0.38,3.71,95.85,3.23,2.55,31.75,62.48,0.80,1.83,5.07,92.29,5.22,6.87,21.86,66.05,,,,,5.79,6.49,21.48,66.24,,0.00,0.00,0.35,99.64,0.00,0.10,4.06,9.02,86.82,,0.15,0.57,4.12,95.16,0.30,0.30,5.99,18.42,75.00,,,,,,0.35,0.35,7.05,20.27,71.97,0.00,0.00,0.01,1.38,98.60,0.02,2.07,5.63,37.11,55.17,0.08,0.22,0.50,3.11,96.09,0.15,2.39,7.49,32.06,57.92,,,,,,0.18,2.63,7.40,33.14,56.66,,0.00,0.00,0.05,99.95,0.00,0.00,0.36,7.62,92.01,,0.07,0.26,0.73,98.93,,0.44,0.90,9.13,89.53,,,,,,,0.52,1.06,9.51,88.91,,,,,100.00,0.00,0.00,0.01,0.66,99.32,,,,0.08,99.92,,,0.15,1.49,98.36,,,,,,,,0.17,1.76,98.07
E06000002,Middlesbrough,5387,67601,760,0,577,,,2.46,97.54,,0.00,31.20,68.80,,,4.04,95.96,,,26.43,73.57,,,,,,,25.64,74.36,,,,0.08,99.92,,,2.20,11.25,86.55,,,0.11,1.14,98.75,,,3.41,10.90,85.68,,,,,,,,2.25,11.08,86.67,,,,0.03,99.97,,,1.51,20.66,77.83,,,,0.11,99.89,,,2.49,21.15,76.36,,,,,,,,2.59,20.60,76.81,,,,,100.00,,,0.15,5.75,94.10,,,,0.02,99.98,,,0.13,5.12,94.75,,,,,,,,0.17,4.50,95.33,,,,,100.00,,,,0.03,99.97,,,,,100.00,,,,0.13,99.87,,,,,,,,,,100.00
E06000003,Redcar and Cleveland,24471,68041,1469,0,1190,0.09,0.69,3.13,96.09,1.89,2.52,25.29,70.30,2.93,2.85,15.79,78.43,3.44,5.66,30.65,60.25,,,,,3.23,4.69,32.04,60.04,,0.01,0.06,0.60,99.33,0.06,0.39,4.80,10.49,84.25,0.14,0.61,5.76,7.18,86.32,0.41,0.62,10.55,21.12,67.30,,,,,,0.51,0.77,11.59,18.97,68.16,0.01,,0.08,0.51,99.40,0.02,0.46,1.44,9.34,88.74,0.65,0.76,1.24,6.38,90.98,0.14,1.09,5.84,20.82,72.11,,,,,,0.17,1.27,6.79,20.40,71.38,,0.01,0.00,0.07,99.93,0.01,0.04,0.42,2.65,96.88,0.10,0.29,0.68,3.65,95.28,0.14,0.14,3.64,10.31,85.77,,,,,,0.17,0.17,4.42,10.65,84.60,,,,0.02,99.98,0.01,,0.07,0.45,99.47,0.00,0.05,0.18,0.62,99.15,,,,2.86,97.14,,,,,,,,,3.20,96.80
E06000004,Stockton-on-Tees,20517,91340,1426,0,1284,0.06,0.25,2.81,96.88,0.95,2.51,26.37,70.17,0.52,2.03,10.20,87.24,0.63,1.18,29.56,68.62,,,,,0.70,1.31,29.24,68.75,,,0.13,1.21,98.65,0.01,0.08,8.02,11.99,79.89,,0.05,2.65,6.59,90.71,,0.07,7.40,21.29,71.24,,,,,,,0.08,7.20,22.55,70.18,,0.00,0.03,0.27,99.70,0.04,0.54,2.31,15.67,81.44,0.02,0.09,0.45,5.60,93.84,,0.35,1.96,23.72,73.97,,,,,,,0.39,2.03,23.62,73.96,,,0.00,0.03,99.96,0.01,0.04,0.80,5.58,93.57,,0.01,0.18,3.76,96.04,,0.07,0.63,10.55,88.75,,,,,,,0.08,0.62,11.17,88.13,,,,,100.00,,0.00,0.03,0.19,99.79,,,,0.03,99.97,,,,0.35,99.65,,,,,,,,,0.39,99.61
E06000005,Darlington,19746,54545,1114,127,903,,0.05,1.26,98.69,0.51,2.04,30.14,67.31,0.10,0.49,8.16,91.25,5.40,7.92,30.97,55.71,,,5.50,94.50,0.66,4.96,27.03,67.36,,,0.26,0.85,98.89,,0.05,6.03,8.78,85.13,,,1.59,6.47,91.94,,0.09,14.62,18.84,66.45,,,1.57,7.84,90.59,,,9.39,15.05,75.56,,0.00,0.02,0.35,99.63,0.04,0.13,3.73,9.28,86.81,,0.07,0.42,2.09,97.42,0.18,1.24,6.43,19.38,72.77,,,,8.67,91.33,,0.11,4.54,20.37,74.98,,,0.00,0.20,99.79,,,0.60,2.44,96.97,,,0.23,1.08,98.69,,,2.49,11.61,85.90,,,,,100.00,,,1.98,9.50,88.53,,,,,100.00,,,0.02,0.32,99.66,,,,0.02,99.98,,,,0.54,99.46,,,,,100.00,,,,0.34,99.66
E06000006,Halton,7905,61892,824,84,724,,,0.32,99.68,0.44,0.79,20.16,78.61,,0.07,2.32,97.60,,0.74,15.16,84.10,,3.60,15.47,80.93,,0.70,15.32,83.99,,,0.03,0.02,99.95,,,2.27,3.59,94.14,,,0.14,0.65,99.20,,,3.44,8.17,88.39,,,1.20,9.58,89.22,,,2.93,9.16,87.92,,,,0.54,99.46,0.03,0.24,1.07,19.52,79.15,,,0.01,0.74,99.25,,0.12,0.85,18.06,80.96,,,2.40,15.47,82.13,,,1.10,17.51,81.39,,,,,100.00,,,0.09,2.31,97.61,,,,0.04,99.96,,,0.12,2.69,97.19,,,,4.79,95.21,,,,2.49,97.51,,,,,100.00,,,,0.45,99.55,,,,,100.00,,,,,100.00,,,,,100.00,,,,,100.00
E06000007,Warrington,18069,99363,1751,510,1803,0.00,0.04,1.88,98.07,0.48,1.62,25.93,71.97,0.03,0.17,6.67,93.13,1.04,3.47,26.25,69.25,,0.39,29.01,70.60,0.96,2.52,27.26,69.26,,,0.05,0.22,99.73,,0.02,3.24,6.49,90.25,,,0.18,2.63,97.18,,,6.38,13.50,80.12,,,4.49,14.72,80.79,,,6.02,14.33,79.65,,,,0.25,99.75,0.03,0.08,3.17,22.99,73.73,,,0.02,2.13,97.85,,0.17,3.59,21.84,74.40,,,3.12,21.17,75.72,,0.05,3.76,22.66,73.53,,,,0.05,99.95,,0.02,0.49,5.29,94.20,,,,1.16,98.84,,,1.20,8.97,89.83,,,1.74,10.99,87.27,,,1.44,9.99,88.57,,,,,100.00,,,,0.25,99.75,,,,,100.00,,,,0.23,99.77,,,,3.93,96.07,,,,1.33,98.67
E06000008,Blackburn with Darwen,13702,67170,879,104,763,0.02,0.03,1.24,98.70,0.29,1.12,20.07,78.51,2.39,2.55,8.18,86.88,4.67,6.38,30.60,58.35,,,15.42,84.58,3.67,4.98,27.51,63.85,,0.00,0.03,0.22,99.75,0.02,0.01,1.26,4.87,93.84,,0.23,1.97,3.39,94.40,0.23,0.68,8.68,13.00,77.42,,,6.78,7.74,85.49,0.26,0.52,4.60,11.55,83.07,0.00,0.02,0.02,0.44,99.51,0.11,0.42,0.68,3.67,95.11,0.68,1.23,2.31,11.08,84.69,1.37,2.39,9.13,15.45,71.66,,,,18.25,81.75,0.91,1.83,7.49,17.54,72.22,,0.00,0.01,0.02,99.97,0.02,0.01,0.08,0.70,99.19,,0.18,0.81,2.37,96.63,0.23,0.68,4.69,7.41,86.99,,,,,100.00,0.26,0.52,1.71,6.96,90.55,,,,0.00,100.00,0.00,0.01,0.02,0.11,99.85,,0.04,0.15,0.62,99.19,,,1.83,6.61,91.56,,,,,100.00,,,0.65,5.25,94.10
E06000009,Blackpool,3484,77581,683,5,456,,,0.10,99.90,,0.18,11.13,88.68,,,0.23,99.77,,0.44,13.18,86.38,,,20.01,79.99,,0.66,14.03,85.31,,,,,100.00,,,0.24,3.47,96.29,,,,,100.00,,,0.44,4.25,95.31,,,,,100.00,,,0.22,4.82,94.96,,,,0.09,99.91,,,0.02,13.88,86.09,,,,0.14,99.86,,,0.15,12.73,87.12,,,,20.01,79.99,,,0.22,15.56,84.22,,,,,100.00,,,,1.06,98.94,,,,,100.00,,,,1.17,98.83,,,,,100.00,,,,0.88,99.12,,,,,100.00,,,,0.09,99.91,,,,,100.00,,,,0.15,99.85,,,,,100.00,,,,,100.00
E06000010,"Kingston upon Hull, City of",7131,128025,664,0,555,,,0.11,99.89,,0.00,17.80,82.20,,,2.79,97.21,,,22.91,77.09,,,,,,,25.24,74.76,,,0.00,0.02,99.97,,,0.91,2.08,97.01,,,0.34,0.65,99.01,,,0.76,4.98,94.26,,,,,,,,0.91,5.78,93.31,,,,,100.00,,,0.05,1.38,98.57,,,,,100.00,,,,4.22,95.78,,,,,,,,,4.33,95.67,,,,,100.00,,,0.03,0.15,99.82,,,,,100.00,,,,0.30,99.70,,,,,,,,,0.36,99.64,,,,,100.00,,,,,100.00,,,,,100.00,,,,,100.00,,,,,,,,,,100.00
