laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E06000011,East Riding of Yorkshire,240686,165720,8589,452,5052,0.34,0.67,10.16,88.83,3.83,7.83,31.25,57.09,1.33,2.88,13.07,82.73,9.49,11.19,29.66,49.66,,3.38,19.29,77.34,3.03,7.75,30.18,59.05,0.00,0.02,1.31,3.80,94.87,0.29,0.51,11.97,13.99,73.25,0.06,0.22,2.99,6.86,89.87,0.82,1.25,18.11,24.56,55.25,,,2.88,23.67,73.45,,0.35,12.73,22.20,64.72,0.01,0.09,0.34,4.74,94.81,0.47,1.93,6.56,20.77,70.26,0.22,0.41,1.08,3.96,94.33,1.22,3.50,9.09,25.14,61.05,,,0.67,13.24,86.09,0.10,1.45,5.48,21.97,71.00,,0.01,0.07,1.03,98.90,0.13,0.30,2.36,9.65,87.57,0.04,0.13,0.47,1.68,97.69,0.51,0.67,4.13,14.87,79.83,,,0.22,4.92,94.86,,0.04,1.66,10.70,87.60,,,0.00,0.03,99.97,0.01,0.07,0.30,2.59,97.04,0.00,0.02,0.10,0.25,99.63,0.06,0.17,0.69,2.87,96.22,,,,,100.00,,,,1.07,98.93
E06000012,North East Lincolnshire,19187,74110,1460,0,1103,0.14,0.98,0.84,98.04,1.96,6.08,24.43,67.52,2.00,2.62,7.89,87.49,4.30,9.42,27.18,59.10,,,,,2.08,7.14,26.26,64.52,,0.01,0.23,0.68,99.08,0.14,0.10,5.04,4.10,90.63,,0.09,5.23,8.19,86.49,0.48,0.68,12.55,24.60,61.69,,,,,,,0.36,12.01,24.62,63.01,0.05,0.03,0.11,3.74,96.06,1.60,2.95,8.41,27.03,60.02,0.45,0.78,1.55,7.42,89.79,1.37,2.39,11.00,32.35,52.89,,,,,,0.81,1.99,9.03,31.30,56.86,,0.01,0.11,0.40,99.48,0.13,0.06,2.79,4.36,92.66,,0.04,1.67,3.24,95.05,0.48,0.48,4.30,18.40,76.34,,,,,,,0.27,3.70,19.93,76.10,,,0.01,0.01,99.97,0.05,0.03,0.10,2.88,96.94,,,0.02,0.14,99.84,0.07,0.21,0.62,4.77,94.34,,,,,,,,0.18,5.41,94.41
E06000013,North Lincolnshire,84501,80492,3844,497,2438,0.14,0.44,10.18,89.25,5.57,8.35,33.13,52.96,0.54,1.02,12.77,85.66,9.14,11.96,29.69,49.20,2.07,3.71,20.02,74.20,2.63,5.99,29.66,61.72,,,2.26,3.54,94.20,0.00,0.17,11.44,10.69,77.69,,,1.73,6.08,92.19,0.65,0.49,12.19,25.30,61.37,,,1.24,11.64,87.12,,,8.30,17.86,73.84,,0.08,0.45,6.14,93.33,0.94,3.91,8.13,12.53,74.49,0.00,0.21,0.37,3.17,96.25,1.38,2.11,7.19,21.77,67.54,,,0.61,10.25,89.14,0.04,0.33,4.67,15.94,79.03,,,0.08,2.09,97.83,0.00,0.15,4.04,8.94,86.87,,,0.04,1.94,98.02,0.63,0.29,3.14,11.27,84.68,,,,6.56,93.44,,,1.84,7.49,90.67,,,,0.00,100.00,,0.00,0.16,4.53,95.31,,,,0.09,99.91,,0.44,0.42,2.70,96.44,,,,,100.00,,,,0.61,99.39
E06000014,York,27188,95960,1571,0,1211,,0.02,1.32,98.66,0.34,2.49,19.71,77.46,0.19,0.66,6.83,92.33,0.51,4.84,21.23,73.41,,,,,0.58,3.25,19.20,76.96,,,,0.64,99.36,,0.03,2.12,5.93,91.92,,,0.05,2.54,97.41,,,3.69,15.83,80.48,,,,,,,,1.58,10.82,87.60,,,,0.38,99.62,0.02,0.29,2.51,14.75,82.44,,,0.01,0.71,99.28,,0.32,2.15,12.51,85.02,,,,,,,0.17,1.81,12.45,85.57,,,,,100.00,,,0.31,2.91,96.78,,,,0.38,99.62,,,0.25,3.18,96.57,,,,,,,,,2.39,97.61,,,,,100.00,,,,0.03,99.97,,,,,100.00,,,,0.13,99.87,,,,,,,,,0.08,99.92
E06000015,Derby,7799,118739,937,0,873,,,0.03,99.97,,0.03,11.59,88.38,,,0.32,99.68,,0.11,15.19,84.71,,,,,,0.12,16.17,83.71,,,,,100.00,,,0.05,1.23,98.73,,,,0.04,99.96,,,0.43,2.46,97.11,,,,,,,,0.46,2.64,96.90,,,,,100.00,,,0.17,7.64,92.19,,,,0.08,99.92,,,0.32,4.39,95.29,,,,,,,,0.34,4.37,95.29,,,,,100.00,,,,0.10,99.90,,,,,100.00,,,,0.75,99.25,,,,,,,,,0.80,99.20,,,,,100.00,,,,,100.00,,,,,100.00,,,,,100.00,,,,,,,,,,100.00
E06000016,Leicester,7332,144796,1054,0,866,,,0.19,99.81,0.03,0.13,19.34,80.50,,,1.60,98.40,0.38,1.23,20.95,77.45,,,,,0.46,1.50,21.33,76.72,,,,0.00,100.00,,,1.03,3.59,95.38,,,,0.29,99.71,,,1.43,5.70,92.87,,,,,,,,1.51,6.01,92.49,,,,,100.00,,0.02,0.44,3.70,95.84,,,,0.14,99.86,,0.28,0.28,6.44,92.99,,,,,,,0.34,0.34,6.57,92.74,,,,,100.00,,,,0.46,99.54,,,,0.04,99.96,,,,1.14,98.86,,,,,,,,,1.04,98.96,,,,,100.00,,,,,100.00,,,,,100.00,,,,,100.00,,,,,,,,,,100.00
E06000017,Rutland,39384,18690,1586,0,1140,1.09,2.36,19.53,77.02,12.90,21.78,35.27,30.05,1.68,3.19,15.77,79.36,7.06,18.24,25.23,49.47,,,,,7.71,19.70,24.49,48.09,,0.01,1.15,8.00,90.84,0.43,2.59,17.03,45.41,34.54,0.06,0.19,1.43,6.49,91.83,0.13,0.50,8.84,23.31,67.22,,,,,,0.18,0.53,8.25,20.94,70.10,0.01,0.08,1.14,5.36,93.41,0.94,4.55,16.08,35.09,43.33,0.17,0.23,1.50,4.38,93.72,,0.81,6.47,21.75,70.97,,,,,,,0.78,6.53,18.10,74.59,,,0.02,0.77,99.22,0.07,0.61,4.28,14.70,80.34,0.05,0.08,0.23,1.72,97.92,,,1.27,6.87,91.86,,,,,,,,1.05,7.35,91.60,,,,,100.00,0.01,,0.65,5.40,93.94,,,0.00,0.07,99.92,,,0.06,0.69,99.24,,,,,,,,0.09,0.79,99.12
E06000018,Nottingham,7453,145675,1149,3,868,,,0.49,99.51,0.09,0.16,11.79,87.96,,,1.15,98.85,,0.09,16.68,83.23,,,,100.00,,,13.92,86.08,,,,0.11,99.89,,,2.61,2.79,94.60,,,,0.48,99.52,,,2.96,5.39,91.66,,,,,100.00,,,2.88,5.41,91.71,,,,0.00,100.00,,,0.37,6.05,93.57,,,,0.04,99.96,,,0.61,6.88,92.51,,,,,100.00,,,0.80,4.50,94.70,,,,,100.00,,,0.13,0.38,99.49,,,,0.03,99.97,,,0.26,0.35,99.39,,,,,100.00,,,0.34,0.11,99.54,,,,,100.00,,,,0.00,100.00,,,,,100.00,,,,0.09,99.91,,,,,100.00,,,,,100.00
E06000019,"Herefordshire, County of",217953,90276,9525,92,5702,1.12,1.70,14.05,83.13,9.19,10.21,32.98,47.63,4.78,6.84,19.64,68.74,14.67,20.16,32.57,32.60,,2.17,30.51,67.32,11.38,19.09,32.90,36.63,0.15,0.23,2.64,5.69,91.29,1.29,1.68,13.61,15.34,68.09,0.46,0.95,5.50,9.77,83.33,2.14,2.76,15.63,20.95,58.52,,,7.61,23.97,68.42,0.78,1.83,13.08,20.71,63.59,0.46,0.70,1.81,5.86,91.17,3.59,4.67,10.35,16.26,65.12,1.93,2.70,6.32,12.66,76.38,4.59,7.20,17.47,22.81,47.93,1.09,,1.09,30.53,67.30,2.45,4.82,15.86,23.12,53.75,0.11,0.15,0.60,2.06,97.07,1.01,1.18,5.57,9.41,82.82,0.36,0.64,2.20,5.27,91.54,1.39,2.06,7.31,15.85,73.40,,,1.09,15.28,83.64,0.66,0.93,5.64,15.33,77.43,0.01,0.05,0.13,0.41,99.40,0.39,0.52,1.30,4.08,93.71,0.07,0.16,0.63,1.93,97.21,0.61,0.97,1.86,6.39,90.15,,,,4.36,95.64,0.22,0.28,1.25,5.61,92.64
E06000020,Telford and Wrekin,29012,81909,1883,130,1182,0.24,0.60,5.03,94.13,3.10,3.59,31.88,61.44,1.41,2.48,12.05,84.06,13.51,13.30,30.02,43.17,,,25.43,74.57,6.97,8.34,33.50,51.19,,,0.46,1.35,98.19,0.18,0.66,6.18,9.46,83.52,,0.04,1.32,4.92,93.72,0.54,1.37,11.41,22.02,64.66,,,8.37,10.68,80.96,0.85,1.02,8.03,20.63,69.47,0.02,0.04,0.38,0.96,98.61,0.98,1.91,3.52,16.25,77.34,0.22,0.46,0.95,3.29,95.09,2.15,6.74,9.28,20.94,60.88,,,3.81,28.42,67.77,1.02,3.91,5.41,20.99,68.66,,,0.06,0.36,99.58,0.11,0.45,1.12,5.77,92.55,,0.03,0.18,1.31,98.48,0.11,0.90,3.36,11.96,83.67,,,,8.40,91.60,0.17,0.94,2.03,10.85,86.01,,,,,100.00,0.02,0.03,0.22,0.87,98.86,,0.00,0.01,0.09,99.90,,0.16,0.64,0.79,98.41,,,,,100.00,,0.26,0.85,0.68,98.22
E06000021,Stoke-on-Trent,9349,122868,1471,0,1243,,,0.86,99.14,0.16,0.62,23.68,75.54,,,1.36,98.64,,0.62,22.73,76.65,,,,,,0.73,22.87,76.40,,,,0.07,99.93,,,3.57,8.20,88.23,,,0.01,0.33,99.66,,,2.25,8.83,88.91,,,,,,,,2.10,9.33,88.57,,,,1.59,98.41,0.00,0.05,2.05,17.92,79.97,,,0.01,1.43,98.56,,,3.21,16.17,80.62,,,,,,,,3.23,15.03,81.74,,,,,100.00,,,0.16,4.19,95.65,,,,0.06,99.94,,,0.21,3.48,96.31,,,,,,,,0.24,3.64,96.12,,,,,100.00,,,,0.72,99.28,,,,,100.00,,,,0.27,99.73,,,,,,,,,0.32,99.68
E06000022,Bath and North East Somerset,35125,88717,2223,0,1636,0.13,0.35,8.21,91.31,2.41,6.57,29.08,61.94,0.77,2.37,12.19,84.67,5.07,10.71,25.97,58.25,,,,,4.13,10.08,22.32,63.47,,0.01,0.54,1.86,97.59,0.09,0.20,10.34,9.76,79.60,,0.02,1.72,4.77,93.49,0.04,0.09,5.56,12.00,82.31,,,,,,0.06,0.12,2.88,10.84,86.11,0.08,0.11,0.30,1.49,98.02,0.93,1.60,4.45,13.22,79.81,0.42,0.98,2.76,6.48,89.36,3.19,4.03,7.35,15.98,69.45,,,,,,2.01,3.98,5.14,15.28,73.59,,,0.07,0.18,99.75,0.08,0.15,2.23,3.95,93.59,,0.01,0.62,1.95,97.42,,0.09,2.46,5.89,91.56,,,,,,,0.12,0.92,4.63,94.34,,,0.00,0.02,99.98,0.03,0.05,0.15,0.90,98.87,,,0.10,0.46,99.44,,0.09,0.09,2.04,97.78,,,,,,,0.12,0.06,1.34,98.48
E06000023,"Bristol, City of",10973,214380,1734,200,1269,,,0.50,99.50,0.03,0.40,18.56,81.01,,0.05,2.74,97.22,0.92,0.80,18.29,79.99,,,24.43,75.57,1.25,1.02,18.15,79.57,,,0.00,0.09,99.91,,,2.04,5.09,92.87,,,0.04,0.74,99.23,,0.29,3.34,5.81,90.57,,,,7.99,92.01,,0.39,3.70,5.57,90.34,,,,0.00,100.00,,0.03,0.94,5.13,93.90,,,0.06,0.30,99.64,0.52,0.69,0.75,5.34,92.71,,,2.98,24.35,72.68,0.70,0.94,1.25,8.22,88.88,,,,,100.00,,,0.09,0.72,99.19,,,,0.09,99.91,,0.23,0.86,2.06,96.85,,,,1.49,98.51,,0.31,1.10,2.42,96.17,,,,,100.00,,,,0.00,100.00,,,,,100.00,,,0.11,0.69,99.20,,,,,100.00,,,0.16,0.94,98.90
E06000024,North Somerset,37426,103555,2151,389,1583,0.05,0.29,5.79,93.87,2.86,6.01,34.96,56.17,0.71,1.32,8.41,89.56,8.73,11.89,24.92,54.46,0.26,1.81,11.27,86.66,5.98,9.37,22.16,62.49,,0.03,0.63,2.48,96.86,0.08,0.26,8.83,13.50,77.33,,0.05,1.03,3.95,94.96,0.94,1.88,9.35,15.90,71.94,,,0.51,4.08,95.41,0.38,1.40,6.77,12.34,79.10,0.03,0.03,0.27,1.83,97.85,0.43,3.15,8.66,22.58,65.18,0.19,1.00,1.81,3.91,93.10,3.30,6.89,7.96,14.98,66.87,,1.28,4.34,13.60,80.77,1.86,4.76,7.06,13.87,72.46,,0.02,0.07,0.45,99.46,0.05,0.14,2.53,7.54,89.74,,0.04,0.26,1.34,98.36,0.84,1.17,4.20,7.81,85.97,,,0.25,3.31,96.43,0.38,0.89,2.64,6.82,89.26,,0.00,0.02,0.03,99.95,0.03,0.02,0.12,1.08,98.75,,0.00,0.03,0.25,99.72,0.61,0.28,0.71,3.11,95.29,,,,0.25,99.75,0.13,0.19,0.19,1.71,97.77
