laua,laua_name,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,per_sites_with_fibre_backhaul
E06000001,Hartlepool,0.08,0.14,3.49,96.29,2.56,2.94,32.46,62.04,0.79,1.92,5.13,92.15,4.62,7.03,21.41,66.95,7.49,9.23,27.76,55.51,5.26,6.68,20.76,67.3,,,0,0.38,99.62,0,0.02,4.03,9.41,86.53,,0.14,0.57,4.19,95.1,0.15,0.44,5.84,18.57,75,0.62,1.43,9.2,23.02,65.72,0.17,0.52,6.88,20.45,71.97,0,0,,1.43,98.56,0.01,1.37,3.95,35.84,58.84,0.06,0.31,0.59,3.82,95.21,,2.54,6.56,26.48,64.42,1.58,4,9.11,28.16,57.15,,3,7.2,25.67,64.14,,,0,0,99.99,0,0,0.26,7.61,92.12,,0.07,0.29,0.64,99,,0.3,0.75,8.81,90.14,,0.8,2.78,11.19,84.76,,0.35,0.88,9.14,89.63,,,,0,100,0,0,,0.73,99.27,,,0.01,0.31,99.68,,0.15,,2.97,96.88,,,0.58,3.51,95.53,,0.17,,3.5,96.32,66
E06000002,Middlesbrough,,,2.18,97.82,,0,28.49,71.51,,,3.86,96.14,,,25.5,74.5,,0.19,32.65,67.17,,,24.94,75.06,,,,0.1,99.9,,,2.66,11.29,86.05,,,0.11,1.16,98.73,,,2.76,13.28,83.97,,,5.11,15.14,79.74,,,1.9,12.64,85.46,,,,0,100,,,1.51,16.49,82,,,,0.04,99.96,,,2.49,18.65,78.87,,,2.15,18.21,79.65,,,2.59,17.82,79.59,,,,,100,,,0.19,4.85,94.96,,,,,100,,,0.13,4.99,94.88,,,0.8,6.56,92.65,,,0.17,4.5,95.33,,,,,100,,,,0,100,,,,,100,,,,,100,,,,0.04,99.96,,,,,100,48
E06000003,Redcar and Cleveland,0.06,0.26,2.9,96.78,0.91,2.25,25.54,71.3,2.49,2.28,16.35,78.88,3.1,5.59,31.67,59.64,11.24,10.93,31.7,46.13,2.97,4.77,32.8,59.46,,0,0.05,0.92,99.02,0.05,0.34,6.84,10.08,82.69,0.08,0.56,4.95,8.44,85.97,0.21,0.9,9.9,22.83,66.17,2.51,2.28,17.39,23.39,54.42,0.25,1.02,11.12,20.23,67.37,0.01,0.02,0.03,0.34,99.6,0.02,0.36,1.25,9.68,88.69,0.55,0.8,1.42,4.13,93.1,0.34,1.37,6.59,18.9,72.8,2.98,4.19,13.25,18.26,61.32,0.42,1.61,6.78,19.3,71.89,,0,0,0.06,99.93,0.01,0.05,0.31,2.22,97.41,0.04,0.23,0.81,2.54,96.38,0.21,0.14,3.92,8.69,87.05,,1.52,7.78,11.56,77.58,0.25,0.17,4.68,9.47,85.43,,,,0.02,99.98,0.01,0.02,0.03,0.34,99.6,,0.02,0.19,0.81,98.97,,,,2.33,97.67,,,1.3,4.07,93.29,,,,2.62,97.38,72
E06000004,Stockton-on-Tees,0.04,0.17,3.17,96.62,0.73,3.38,28.76,67.13,0.55,1.8,10.29,87.36,0.56,0.91,30.61,67.92,6.48,7.49,30.16,55.86,0.62,1.01,30.17,68.2,,,0.14,1.28,98.59,0.03,0.07,6.32,13.94,79.63,,0.05,2.89,6.53,90.53,,,8.03,19.95,72.02,0.39,1.36,16.59,23.22,58.44,,,7.67,21.14,71.19,,0,0.08,0.28,99.63,0.04,0.42,1.7,17.31,80.52,0.05,0.23,0.77,5.57,93.38,,0.63,1.26,21.18,76.93,1.37,3.49,8.54,20.28,66.31,,0.7,1.24,20.88,77.17,,,0,0.03,99.97,0.01,0.04,0.73,5.43,93.79,,0.01,0.26,3.33,96.4,,,0.28,8.51,91.21,,0.76,6.09,11.93,80.96,,,0.23,9.06,90.71,,,,,100,,0,0.08,0.22,99.7,,,,0.1,99.9,,,,0.35,99.65,,,0.7,5,94.02,,,,0.39,99.61,77
E06000005,Darlington,0.01,0.01,1.18,98.8,0.38,2.12,31.23,66.26,0.07,0.54,8.03,91.35,4.51,7.03,31.29,57.16,7.77,10.76,29.03,52.45,0.33,3.53,26.77,69.37,,,0.27,0.86,98.87,,0.07,6.35,9.79,83.8,,,1.58,6.44,91.98,,0.18,14.53,19.75,65.54,0.07,0.47,17.6,26.94,54.93,,,9.39,16.28,74.33,,,0.02,0.24,99.74,0.05,0.29,3.61,9.15,86.91,,0.06,0.39,2.13,97.41,0.18,1.42,7.16,20.59,70.65,1,2.94,8.4,22.82,64.84,,0.33,5.54,19.57,74.55,,,0,0.15,99.85,,,0.58,2.27,97.15,,,0.24,1.1,98.66,,,2.58,11.41,86.01,,0.23,3.26,12.45,84.02,,,1.87,9.04,89.09,,,,,100,,,0.02,0.23,99.75,,,,0.02,99.98,,,,0.45,99.55,,,0.39,2.02,97.53,,,,0.33,99.67,75
E06000006,Halton,,,0.37,99.63,0.69,0.71,21.2,77.4,,0.04,2.57,97.39,,0.37,16.62,83.01,1.59,4.95,25.64,67.82,,0.84,16.55,82.61,,,0.03,0.04,99.93,,,1.96,4.44,93.6,,,0.12,0.51,99.37,,,2.93,8.65,88.42,,0.01,4.77,12.13,83.09,,,2.91,9.83,87.26,,,,0.92,99.08,0.32,0.5,1.63,19.6,77.95,,,0.01,1.09,98.89,0.12,0.12,0.61,20.51,78.64,0.49,1.37,6.1,26.79,65.25,,,0.83,20.68,78.48,,,,,100,,,0.14,2.94,96.92,,,,0.03,99.97,,,,2.68,97.32,,,0.79,7.46,91.74,,,,2.77,97.23,,,,,100,,,,0.35,99.65,,,,,100,,,,,100,,,0.01,0.71,99.27,,,,,100,72
E06000007,Warrington,0,0.03,2.18,97.79,0.32,1.51,25.49,72.68,0.06,0.21,6.92,92.82,0.64,2.77,26.49,70.1,1.37,4.3,29.76,64.58,0.56,2.3,27.62,69.52,,,0.06,0.26,99.68,0,0.02,3.34,7.68,88.95,,,0.27,3.11,96.62,,,6.04,14.47,79.49,0.04,0.17,9.29,19,71.5,,,5.92,15.06,79.02,,,0.01,0.32,99.67,0.08,0.47,5.62,24.78,69.05,,,0.13,3.06,96.81,,0.69,6.18,23.14,69.99,0.17,1.03,6.92,26.3,65.58,,0.4,5.9,24.91,68.79,,,,0.05,99.95,,0.03,0.83,6.52,92.62,,,,1.54,98.46,,,1.55,9.65,88.8,,0.12,2.18,12.81,84.88,,,1.62,11.82,86.56,,,,,100,,,0,0.3,99.7,,,,,100,,,,0.51,99.49,,,0.1,2.97,96.93,,,,1.45,98.55,59
E06000008,Blackburn with Darwen,0.02,0.04,1.06,98.89,0.3,1.38,16.91,81.41,2.22,2.38,7.91,87.49,3.99,6.61,27.88,61.53,10.8,9.33,21.57,58.31,3.01,5.11,24.76,67.12,,0,0.04,0.25,99.71,0.02,0.02,2.14,4.1,93.72,,0.26,3.58,4.79,91.37,0.11,1.02,13.33,12.41,73.12,2.19,2.5,8.87,15.78,70.65,0.13,0.78,9.96,11.14,77.98,0,0.02,0.03,0.34,99.6,0.19,0.34,0.87,3.57,95.03,0.78,1.39,2.62,10.78,84.44,2.51,4.33,6.16,15,72,6.62,6.87,9.17,22.92,54.42,1.83,3.41,5,15.44,74.32,,0,0.02,0.05,99.93,0.02,0.02,0.1,0.64,99.22,,0.21,1.25,4.29,94.25,0.11,0.91,6.28,10.23,82.46,,2.13,4.73,12.7,78.37,0.13,0.65,3.28,10.74,85.19,,,0,0.01,99.99,0,0.02,0.03,0.16,99.79,,0.03,0.23,1.54,98.2,,0.11,2.96,9.32,87.6,,,2.46,7.77,87.64,,,1.83,8.9,89.26,40
E06000009,Blackpool,,,0.01,99.99,,0.07,10.83,89.09,,,0.2,99.8,,,13.47,86.53,,0.2,15.92,83.88,,,14.47,85.53,,,,,100,,,0.28,3.44,96.28,,,,,100,,,0.59,4.39,95.02,,,0.52,5.32,94.16,,,0.22,5.26,94.52,,,,,100,,,0,11.6,88.4,,,,0.09,99.91,,,,11.86,88.14,,,0.06,13.78,86.16,,,,14.25,85.75,,,,,100,,,,0.95,99.05,,,,,100,,,,1.02,98.98,,,,1.29,98.71,,,,0.66,99.34,,,,,100,,,,,100,,,,,100,,,,,100,,,,0.06,99.94,,,,,100,85
E06000010,"Kingston upon Hull, City of",,,1.34,98.66,,0.5,14.41,85.09,,,4.75,95.25,,0.6,22,77.41,,0.38,19.92,79.7,,0.72,24.15,75.13,,,0,0.01,99.99,,,0.94,1.83,97.23,,,0.55,0.89,98.56,,,1.21,5.28,93.51,,,3.85,5.12,91.02,,,1.45,6.32,92.23,,,,,100,,,0.03,1.59,98.38,,,,,100,,,,2.87,97.13,,0.01,1.03,2.82,96.13,,,,2.53,97.47,,,,,100,,,0.02,0.23,99.75,,,,,100,,,,0.3,99.7,,,0.91,1.44,97.66,,,,0.36,99.64,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,68
E06000011,East Riding of Yorkshire,0.31,0.59,9.46,89.64,3.75,7.46,30.38,58.4,1.18,2.67,13.06,83.09,8.4,11.17,30.59,49.83,13.11,17.3,29.16,40.44,3,7.48,30.38,59.15,0,0.01,1.33,3.9,94.75,0.28,0.53,12.41,14.08,72.7,0.04,0.24,3.08,7.03,89.61,0.76,1.47,18.51,24.67,54.58,1.1,2.17,18.57,28.93,49.23,0.04,0.35,13.23,22.06,64.31,0.01,0.08,0.32,5.08,94.52,0.59,2.42,6.49,20.46,70.04,0.2,0.41,1.21,4.9,93.29,1.54,4.29,9.7,23.96,60.52,2.75,5.58,13.5,24.12,54.05,0.25,1.66,5.82,21.57,70.71,,0,0.05,1.14,98.8,0.13,0.33,2.23,10.23,87.07,0.03,0.15,0.55,1.75,97.53,0.52,0.61,4.3,15.14,79.44,,1.26,5.12,15.4,77.48,0.04,0.04,1.78,10.7,87.43,,,0.01,0.03,99.96,0,0.08,0.25,2.74,96.92,0,0.03,0.11,0.3,99.56,0.07,0.2,0.94,3.17,95.63,,,1.17,4.08,94.14,,,0.04,1.23,98.73,53
E06000012,North East Lincolnshire,0.16,0.73,1.51,97.6,2.28,7.01,19.24,71.47,2.66,3.33,7.61,86.4,4.78,11.96,23.96,59.3,14.23,14.39,23.01,48.36,2.71,10.31,23.09,63.89,,0.01,0.2,0.57,99.21,0.13,0.17,5.08,4.5,90.12,0.02,0.11,5.07,7.44,87.36,0.55,0.82,12.35,24.6,61.69,1.75,2.91,20.26,27.15,47.93,,0.54,11.74,24.16,63.55,0.07,0.06,1.31,3.44,95.12,0.54,4.5,11.01,25.1,58.86,0.61,1.25,2.84,8.24,87.06,1.64,5.26,16.12,27.71,49.27,7.28,8.56,19.33,29.06,35.77,1.08,4.16,15.72,25.6,53.44,,0.01,0.11,0.26,99.62,0.12,0.12,2.78,4.91,92.06,0.01,0.07,1.65,3.08,95.2,0.48,0.82,4.65,18.12,75.93,,2.42,10.38,20.39,65.22,,0.54,4.16,19.03,76.27,,0.01,0.01,0.01,99.97,0.06,0.04,1.06,2.48,96.35,,0.01,0.03,0.29,99.68,0.14,0.41,1.57,4.3,93.59,,,2.63,6.99,88.68,,0.18,1.35,4.78,93.69,58
E06000013,North Lincolnshire,0.15,0.78,9.34,89.74,5.64,8.38,32.87,53.11,0.57,1.2,12.63,85.6,8.44,12.36,31.3,47.9,12.85,18.13,29.29,39.72,2.71,6.3,30.84,60.15,,,2.21,3.69,94.1,0.23,1.7,11.42,9.59,77.06,,,1.87,6.28,91.84,0.7,1.53,11.73,24.77,61.26,0.34,0.92,16.9,28.24,53.6,,0.17,7.9,17.61,74.33,,0.07,0.62,5.73,93.58,1.23,5.51,6.97,19,67.29,0,0.26,0.6,3.72,95.41,1.93,5.24,10.39,22.31,60.13,2.24,5.66,14.25,26.12,51.73,0.08,1.21,7.11,16.58,75.03,,,0.07,1.95,97.97,0.08,0.4,4.84,8.51,86.18,,,0.04,2.22,97.73,0.6,0.57,3.75,10.6,84.49,,0.53,6.62,14.51,78.12,,,1.97,6.87,91.15,,,,,100,,0.04,0.44,4.48,95.04,,,,0.05,99.95,,0.57,0.47,2.58,96.38,,,0.42,3.35,95.98,,,,0.66,99.34,27
E06000014,York,,0,1.29,98.71,0.29,2.27,18.94,78.49,0.19,0.75,6.57,92.5,0.38,4.59,21.04,73.99,4.47,11.42,26.07,58.04,0.42,3.41,18.28,77.89,,,,0.61,99.39,,0,2.16,5.83,92,,,0.04,2.51,97.45,,,3.88,15.14,80.98,0.11,0.53,8,20,71.35,,,1.66,10.74,87.6,,,,0.43,99.57,0.01,0.46,3.71,12.97,82.85,,0.02,0.11,0.97,98.9,0.06,0.25,2.54,13.01,84.13,0.07,1.24,5.55,16.64,76.5,0.08,0.17,2.22,12.11,85.41,,,,,100,,,0.25,3.02,96.73,,,,0.4,99.6,,,0.25,3.62,96.13,,0.14,0.81,6.32,92.73,,,,2.48,97.52,,,,,100,,,,0.01,99.99,,,,,100,,,,0.06,99.94,,,0.11,0.81,99.06,,,,0.08,99.92,81
E06000015,Derby,,,0.02,99.98,,0.28,12.34,87.38,,,0.42,99.58,,0.11,14.97,84.92,,0.6,16.66,82.74,,0.12,15.95,83.94,,,,,100,,,0.08,1.93,97.99,,,,0.04,99.96,,,0.43,2.57,97,,,0.41,4.94,94.64,,,0.46,2.75,96.78,,,,,100,,,0.2,6.53,93.27,,,,0.27,99.73,,,0.53,5.89,93.58,,,0.68,8.93,90.38,,,0.57,5.98,93.45,,,,,100,,,0,0.21,99.79,,,,0.01,99.99,,,0.11,0.64,99.25,,,0.03,1.9,98.07,,,0.11,0.69,99.2,,,,,100,,,,,100,,,,,100,,,,,100,,,,0.26,99.74,,,,,100,45
E06000016,Leicester,,,0.12,99.88,0.02,0.15,18.35,81.48,,,1.37,98.63,0.66,0.76,19.72,78.86,0.41,0.56,20.87,78.16,0.81,0.92,19.95,78.33,,,,,100,,,1.08,3.84,95.08,,,,0.23,99.77,,,1.53,6.46,92.01,,,2.29,6.77,90.94,,,1.62,6.94,91.44,,,,,100,,0,0.08,3.59,96.33,,,,0.22,99.78,,0.19,0.57,3.61,95.64,,0.23,0.68,7.04,92.04,,0.23,0.69,3.7,95.38,,,,,100,,,,0.57,99.43,,,,0.1,99.9,,,,1.33,98.67,,,0.12,2.71,97.17,,,,1.27,98.73,,,,,100,,,,,100,,,,,100,,,,,100,,,,0.21,99.79,,,,,100,73
E06000017,Rutland,0.92,2.98,16.23,79.86,13.54,16.67,40.57,29.22,1.62,3.96,16.52,77.89,6.49,17.56,26.6,49.35,16.59,23.4,27.48,32.53,7.1,17.44,27.19,48.28,,0.02,1.15,5.47,93.36,0.7,2.8,16.86,20.67,58.97,0.03,0.19,1.48,6.45,91.84,0.19,0.69,9.02,21.82,68.27,1.34,2.34,15.29,25.8,55.24,0.26,0.88,8.42,21.65,68.79,0,0.01,1.4,5.4,93.19,2.3,3.23,14.61,36.3,43.56,0.24,0.39,1.87,5.02,92.48,0.06,1.32,9.43,27.68,61.51,3.16,7.62,16.79,22.8,49.62,0.09,1.05,9.16,25.98,63.72,,,0.01,0.76,99.23,0.28,1.07,4.02,13.57,81.06,0.02,0.12,0.25,1.73,97.89,,0.13,1.58,7.5,90.8,,1.18,4.95,15.28,77.6,,0.17,1.58,7.61,90.64,,,,,100,0,0.01,0.77,4.97,94.26,,,0.02,0.08,99.91,,,0.06,1.14,98.8,,,0.79,4.8,93.79,,,0.09,1.4,98.51,71
E06000018,Nottingham,,,0.46,99.54,0.08,0.13,11.77,88.02,,,1.11,98.89,,0.17,16.33,83.49,0.05,0.31,17.56,82.08,,0.12,14.15,85.73,,,,0.16,99.84,,,3.44,2.82,93.75,,,0.03,0.39,99.58,,,3.22,5.22,91.56,,,3.97,7.29,88.75,,,3.22,5.3,91.48,,,,,100,,0.02,0.51,5.27,94.21,,,,,100,,,1.04,5.93,93.03,,0.01,1.01,5.29,93.69,,,1.38,4.96,93.65,,,,,100,,,0.11,0.34,99.55,,,,,100,,,0.26,0.17,99.57,,,0.11,1.04,98.85,,,0.34,0.12,99.54,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,71
E06000019,"Herefordshire, County of",0.89,1.55,13.96,83.6,7.53,10.4,33.61,48.46,4.18,6.22,19.51,70.09,12.46,19.25,34.84,33.45,24.38,22.57,28.72,24.33,9.15,18.39,34.87,37.6,0.13,0.24,2.7,5.68,91.26,1.2,1.64,13.36,15.73,68.07,0.42,0.98,5.57,10.07,82.96,1.96,2.68,15.93,21.79,57.64,4.83,5.87,17.8,21.82,49.68,0.77,1.77,13.75,20.87,62.85,0.55,0.7,2.17,6.23,90.35,3.81,5.56,10.6,15.61,64.41,2.14,2.92,7.66,15.89,71.38,5.56,8.44,20.62,26.7,38.68,12.13,13.73,23.69,24.45,26,2.83,5.94,19.69,28.55,42.99,0.11,0.13,0.64,2.18,96.94,0.94,1.21,5.65,9.52,82.67,0.34,0.68,2.27,5.53,91.18,1.48,1.9,7.27,16.56,72.79,,4.45,10.55,18,63.03,0.62,1.02,5.68,16.14,76.54,0.01,0.07,0.17,0.41,99.33,0.47,0.54,1.43,4.53,93.02,0.07,0.2,0.74,2.24,96.75,0.88,0.75,2.29,7.88,88.19,,,5.86,11.16,78.81,0.32,0.18,1.56,7.42,90.51,76
E06000020,Telford and Wrekin,0.18,0.55,4.74,94.53,2.85,3.55,31.51,62.1,1.24,2.65,11.9,84.21,11.43,13.42,31.59,43.56,21.39,22.54,27.9,28.17,6.04,8.36,33.26,52.34,,,0.47,1.53,98,0.21,0.64,7.22,9.71,82.22,0,0.08,1.39,5.32,93.21,0.54,1.32,12.37,23.82,61.95,0.99,2.27,18.95,26.48,51.31,0.85,0.85,8.54,23.01,66.75,0.02,0.14,0.3,1.5,98.04,1.08,1.56,2.99,15.93,78.45,0.22,0.6,1.46,7.85,89.88,2.21,8.84,10.36,22.91,55.69,4.89,13.47,20.44,26.23,34.97,1.19,4.42,6.51,22.47,65.4,,,0.06,0.34,99.6,0.18,0.44,1.02,6.31,92.06,0,0.06,0.17,1.32,98.44,0.05,1.12,3.2,12.23,83.4,,1.52,5.42,17.53,74.89,0.09,1.27,1.61,11.7,85.33,,,,0.01,99.99,0.02,0.11,0.26,1.18,98.43,,,0.02,0.2,99.78,,0.59,0.27,1.79,97.35,,,1.05,4.04,94.19,,0.85,0.42,1.27,97.46,84
E06000021,Stoke-on-Trent,,,0.73,99.27,0.13,0.44,23.11,76.32,,,1.46,98.54,,0.41,22.13,77.45,0.14,0.83,24.02,75.01,,0.49,21.92,77.59,,,0,0.09,99.91,,,3.71,8.28,88.01,,,0.03,0.41,99.56,,,2.93,9.85,87.22,,,3.88,9.68,86.44,,,2.5,9.97,87.53,,,,1.64,98.36,0,0.07,1.77,18.08,80.08,,,,1.39,98.61,,0.14,2.73,17.25,79.88,0.01,0.23,2.85,19.44,77.47,,0.16,2.82,15.91,81.11,,,,,100,,,0.16,3.84,95.99,,,,0.06,99.94,,,0.27,4.37,95.36,,,0.45,5.08,94.46,,,0.32,3.88,95.8,,,,,100,,,,0.71,99.29,,,,,100,,,,0.27,99.73,,,,0.68,99.32,,,,0.32,99.68,45
E06000022,Bath and North East Somerset,0.13,0.33,8.82,90.72,2.29,5.39,30.67,61.65,0.61,2.24,12,85.15,4.17,8.23,28.13,59.46,9.1,14.17,28.76,47.97,3.16,7.13,24.59,65.13,,0.01,0.36,1.61,98.03,0.18,0.2,9.8,8.42,81.4,,0.03,1.7,4.82,93.45,0.04,0.09,5.34,12.13,82.39,0.82,1.67,11.29,17.84,68.38,0.06,0.12,2.7,10.96,86.16,0.1,0.24,0.6,1.62,97.44,1.15,1.96,5.67,14.37,76.85,0.59,1.49,2.75,7.25,87.93,3.54,4.42,10.3,17.96,63.79,6.6,7.94,13.34,21.15,50.97,2.13,4.33,7.75,17.03,68.77,,,0.07,0.22,99.7,0.14,0.15,2.42,4.26,93.02,,0.02,0.64,2,97.35,,0.13,2.29,6.33,91.25,,1.44,6.01,10.81,81.13,,0.18,0.8,4.99,94.03,,,0.01,0.02,99.97,0.04,0.09,0.39,1.28,98.2,,,0.14,0.48,99.37,,0.13,0.13,2.74,96.99,,,2.32,5.69,91.1,,0.18,0.12,1.99,97.71,83
E06000023,"Bristol, City of",,,0.32,99.68,0.05,0.29,18.32,81.33,,0.05,2.5,97.45,0.69,0.97,17.67,80.67,0.41,0.98,23.97,74.64,0.94,1.17,18.16,79.72,,,0,0.05,99.95,,,1.72,4.57,93.71,,,0.04,0.73,99.23,,0.29,3.27,4.42,92.02,,0.05,4.18,8.35,87.41,,0.39,3.53,5.49,90.59,,,,0,100,0,0.01,1.15,9.54,89.3,,,0.01,0.39,99.6,0.57,0.52,1.5,7.43,89.98,0.15,0.25,2.39,14.39,82.81,0.78,0.78,2.04,10.76,85.63,,,,,100,,,0.17,1.86,97.97,,,,0.08,99.92,,0.29,1.09,2.12,96.5,,0.05,0.75,3.9,95.29,,0.39,1.25,2.82,95.54,,,,,100,,,,0,100,,,,,100,,,,0.74,99.26,,,0.01,0.34,99.65,,,,1.02,98.98,64
E06000024,North Somerset,0.04,0.18,5.1,94.68,2.46,5.71,35.48,56.36,0.62,1.35,7.95,90.09,7.79,11.14,25.62,55.44,8.48,12.52,23.33,55.68,5.15,8.73,22.42,63.69,,0.03,0.53,2.57,96.87,0.08,0.58,7.45,15.19,76.7,0.01,0.06,1.02,3.99,94.93,1.46,2.59,10.15,15.1,70.71,0.72,2.15,8.76,15.58,72.78,0.7,1.41,6.77,12.98,78.14,0.04,0.07,0.44,2.68,96.78,0.79,3.02,9.93,22.53,63.73,0.24,1.2,2.13,5.79,90.64,4.86,6.48,10.99,18.74,58.94,3.85,7.34,14.92,22.06,51.83,2.43,4.46,9.86,17.43,65.83,,0.02,0.07,0.47,99.44,0.05,0.25,1.61,8.48,89.6,0.01,0.04,0.31,1.41,98.24,1.22,1.84,4.63,7.32,84.98,,1.57,4.05,9.3,84.54,0.7,0.77,2.76,7.27,88.5,,,0.03,0.02,99.95,0.04,0.04,0.29,1.45,98.19,,,0.05,0.38,99.57,0.61,0.8,1.75,4.98,91.86,,,1.8,4.32,92.8,0.19,0.19,0.63,2.91,96.07,45
E06000025,South Gloucestershire,0.01,0.16,2.76,97.07,1.42,3.25,34.29,61.03,0.81,1.7,9.67,87.82,5.31,8.96,30.69,55.03,10.15,13.23,31.32,45.3,2.33,5.55,29.27,62.85,,,0.23,2.92,96.86,0.01,0.14,5.63,15.43,78.78,0.01,0.06,2.72,5.46,91.75,0.07,0.17,9.05,20.53,70.18,1.07,1.65,13.51,22.81,60.96,0.04,0.13,5.91,17.57,76.34,0,0,0.02,0.35,99.63,0.23,0.93,4.06,9.73,85.05,0.21,0.5,1.99,4.23,93.08,0.41,2.66,9,20.63,67.3,2.73,5.54,16.27,24.25,51.21,0.25,1.3,4.99,17.46,76,,,0.01,0.07,99.93,0.01,0.06,0.39,2.7,96.84,0.01,0.03,0.91,1.69,97.37,0.03,0.07,0.62,6.96,92.32,,1.04,4.5,9.06,84.7,,0.09,0.58,6.15,93.19,,,0,0,100,0,0,0.02,0.16,99.82,,0,0.21,0.43,99.36,,,0.07,1.16,98.77,,,1.69,3.33,94.33,,,0.04,0.8,99.15,44
E06000026,Plymouth,,,0.62,99.38,0.08,0.63,15.87,83.43,0.22,0.24,1.71,97.83,0.33,0.65,18.84,80.19,0.96,1.84,19.54,77.66,0.56,,19.08,80.36,,,,0.03,99.97,,,1.57,4.57,93.86,,,0.04,0.34,99.62,,,1.3,6.35,92.35,0.1,0.19,2.77,6.83,90.11,,,1.29,6.59,92.12,,,,0.1,99.9,0,0.01,0.19,6.05,93.75,,0.16,0.27,1.05,98.52,0.11,0.11,0.54,7.65,91.59,0.4,0.44,1.4,8.19,89.56,0.19,0.19,0.19,5.71,93.73,,,,,100,,,0.09,1.48,98.43,,,0.04,0.13,99.84,,,0.11,1.19,98.7,,0.18,0.58,2.68,96.46,,,0.19,1.11,98.71,,,,,100,,,,0.01,99.99,,,,0.01,99.99,,,,0.11,99.89,,,0.15,0.58,99.1,,,,,100,0
