laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E07000083,Tewkesbury,41444,47552,1904,355,1349,0.14,1.11,12.93,85.82,7.04,7.95,33.79,51.22,1.66,3.31,16.43,78.6,14.41,22.04,24.92,38.63,0.28,3.94,27.33,68.45,10.51,14.43,24.73,50.33,,0.01,1.59,3.11,95.29,0.05,1.09,14.57,16.5,67.79,0,0.07,2.89,6.02,91.01,0.11,1.31,13.81,22.43,62.34,,,1.13,7.89,90.98,,0.08,10.02,19.37,70.54,0.04,0.02,0.44,1.73,97.77,0.92,2.93,6.93,23.75,65.47,0.56,1.07,2.2,5.29,90.88,2.37,5.55,12.78,21.99,57.31,,,3.09,6.75,90.16,1.28,2.74,10.72,16.65,68.61,,0.01,0.05,0.44,99.51,0.04,0.16,1.69,7.66,90.45,0,0.05,0.72,1.96,97.27,0.05,0.65,2.8,11.58,84.91,,,,1.69,98.31,,0.08,1.35,7.35,91.22,,0,0,0.03,99.97,0.04,0.02,0.08,1.5,98.36,,0.01,0.12,0.54,99.33,0.05,0.16,0.22,2.43,97.13,,,,0.28,99.72,,,0.08,0.45,99.47
E07000084,Basingstoke and Deane,63373,82407,2292,309,1741,0.14,0.4,5.65,93.8,2.45,3.94,25.77,67.85,1.79,3.25,21.19,73.77,9.92,8.46,30.08,51.55,,8.31,28.17,63.52,1.85,5.39,29.57,63.18,,,1.24,1.58,97.17,0.09,0.27,5.69,6.46,87.49,,0.02,4.72,10.78,84.49,1.19,1.82,13.91,16.09,67,,,1.6,15.73,82.67,,0.06,3.89,16.07,79.98,0.01,0.12,0.23,5.71,93.93,0.3,1.71,4.27,24.42,69.31,0.18,0.82,1.85,8.85,88.3,1.58,6.38,9.67,25.14,57.23,,,,27.87,72.13,0.58,0.86,5.06,22.89,70.61,,,0.03,1.07,98.9,0.03,0.14,1.06,6.26,92.51,,0,0.34,5.09,94.57,0.13,1.41,5.28,16.42,76.76,,,,11.57,88.43,,0.06,1.63,8.42,89.89,,,,0.21,99.79,0.01,0.04,0.18,1.94,97.83,,,,0.34,99.66,,0.66,1.65,7.91,89.78,,,,1.3,98.7,,,0.23,1.74,98.03
E07000085,East Hampshire,51438,58141,2283,41,1425,0.4,0.78,9.5,89.33,5.8,7.57,25.56,61.06,3.45,4.65,20.39,71.51,11.77,15.76,31.93,40.53,,,12.19,87.81,9.53,16.08,31.6,42.79,0,0.01,1,3.02,95.98,0.3,0.68,10.12,9.7,79.2,0.01,0.23,4.66,11.81,83.29,0.26,0.74,17.28,16.31,65.41,,,,,100,0.21,0.07,15.85,13.1,70.78,0.03,0.26,0.61,2.23,96.86,1.2,2.02,4.53,14.49,77.76,0.41,1.38,2.6,7.78,87.82,2.14,6.39,10.47,23.42,57.59,,,,2.44,97.56,0.7,4.21,11.1,27.35,56.65,,0.01,0.04,0.6,99.35,0.25,0.4,1.73,8.3,89.32,0,0.1,0.49,4,95.41,0.17,0.44,4.44,16.03,78.92,,,,,100,0.21,,4.66,14.43,80.7,,,0,0.02,99.98,0.03,0.08,0.53,1.44,97.92,,0,0.06,0.28,99.66,0.04,0.13,0.7,4.41,94.72,,,,,100,,0.07,0.35,4.98,94.61
E07000086,Eastleigh,7980,61300,736,216,520,,0,1.34,98.66,2.01,3.76,21.11,73.13,,0.34,4.92,94.74,1.5,3,20.97,74.52,,,19.94,80.06,,0.19,18.3,81.5,,,,0.12,99.88,,0.02,2.1,3.81,94.06,,,0.08,0.99,98.93,,,2.73,5.59,91.68,,,2.78,4.64,92.58,,,1.35,4.43,94.22,,,0,0.13,99.87,0,0.2,2.18,8.38,89.23,,,0.03,0.81,99.17,,0.14,3.55,7.5,88.82,,,1.4,8.83,89.77,,,2.7,7.14,90.16,,,,,100,,0,0.07,0.24,99.69,,,,0.03,99.97,,,0.68,2.86,96.46,,,,4.64,95.36,,,0.19,3.85,95.95,,,,,100,,,,0.01,99.99,,,,,100,,,,0.14,99.86,,,,1.86,98.14,,,,0.77,99.23
E07000087,Fareham,7413,52739,433,146,464,,,1.1,98.9,0.06,1.59,27.5,70.84,,0.04,2.19,97.77,,1.14,16.37,82.49,,,29.41,70.59,,1.06,17.42,81.52,,,,0.16,99.84,,,2.38,6.41,91.21,,,,0.18,99.82,,,,3.94,96.06,,,2.06,24.1,73.84,,,0.65,9.53,89.82,,,,0.09,99.91,0.01,0.26,1.65,14.68,83.4,,,0.03,0.75,99.22,,0.91,1.14,12.19,85.76,,,4.73,30.07,65.2,,0.85,2.55,18.69,77.9,,,,,100,,,0.03,1.83,98.15,,,,0.01,99.99,,,,1.38,98.62,,,,9.59,90.41,,,,3.88,96.12,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,100,,,,,100
E07000088,Gosport,2534,38779,259,0,93,,,0.14,99.86,,0.06,15.39,84.55,,,0.99,99.01,,,13.49,86.51,,,,,,,10.76,89.24,,,,0,100,,,0.49,2.77,96.73,,,,0.08,99.92,,,,1.54,98.46,,,,,,,,,,100,,,,,100,,,0.36,3.56,96.09,,,,,100,,,,1.16,98.84,,,,,,,,,1.07,98.93,,,,,100,,,,0.06,99.94,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100
E07000089,Hart,21531,43808,1349,183,841,0.03,0.1,3.2,96.66,0.92,5.51,26.13,67.43,0.48,1.71,22.93,74.87,7.97,9.91,37.64,44.48,,0.55,45.24,54.21,3.34,5.93,40.04,50.69,,,0.02,0.76,99.21,0,0.08,3.61,7.67,88.65,,,0.32,9.87,89.81,,0.22,11.01,27.91,60.86,,,,27.18,72.82,,0.12,6.06,29.58,64.24,,0.02,0.03,1.71,98.25,0.11,0.68,3.72,24.5,70.99,,0.1,0.97,12.38,86.55,0.44,3.77,17.7,29.55,48.54,,,1.09,30.52,68.39,,0.71,13.59,30.26,55.43,,,0,0.29,99.71,,0.05,0.85,4.06,95.04,,,0,6,94,,0.07,4.95,26.78,68.2,,,,19.58,80.42,,,2.98,24,73.03,,,,0,100,,,0.04,1.38,98.58,,,,0.13,99.87,,,,11.19,88.81,,,,4.4,95.6,,,,8.12,91.88
E07000090,Havant,5516,57929,521,87,391,,,0.98,99.02,0.35,2.72,27.76,69.17,,0.04,2.71,97.25,0.38,6.34,23.45,69.82,,,42.54,57.46,0.51,7.95,28.16,63.38,,,,0.06,99.94,,,2.01,4.37,93.62,,,,0.69,99.31,,,3.08,6.34,90.58,,,,5.75,94.25,,,3.08,7.69,89.24,,,,0,100,,,0.94,4.42,94.64,,,0.02,0.18,99.8,,,3.08,5.18,91.74,,,2.3,25.3,72.4,,,4.36,9.72,85.93,,,,0,100,,,,0.37,99.63,,,,0.05,99.95,,,,0.58,99.42,,,,4.6,95.4,,,,1.53,98.47,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,100,,,,,100
E07000091,New Forest,75296,87693,3102,101,1826,0.34,0.49,10.2,88.97,3.43,9.96,28.75,57.85,10.68,8.85,28.09,52.39,21.1,10.29,29.45,39.16,,,43.41,56.59,13.39,6.86,32.27,47.48,0,0.03,0.84,2.57,96.56,0.29,0.5,9.91,11.76,77.54,0.43,1.1,9.92,19.38,69.18,2.71,3.78,20.15,19.47,53.89,,,,32.56,67.44,0.82,2.01,13.92,18.27,64.98,0.04,0.13,0.33,2.49,97.02,0.82,1.91,7.17,16.66,73.45,1.43,5.18,5.85,11.56,75.98,6.41,8.24,10.33,19.07,55.94,,,,17.74,82.26,3.76,5.32,7.31,19.66,63.95,0,0.02,0.04,0.69,99.25,0.17,0.38,1.46,6.98,91.02,0.37,0.54,1.55,12.1,85.44,1.88,3.08,6.32,16.87,71.85,,,,16.75,83.25,0.76,1.63,4.94,13.05,79.61,,0,0.01,0.09,99.91,0.03,0.09,0.22,2.12,97.54,0.03,0.22,0.35,1.54,97.86,0.07,1.04,1.41,4.19,93.29,,,,1.97,98.03,,0.71,0.92,2.97,95.4
E07000092,Rushmoor,3902,42994,480,50,381,,,0.29,99.71,0,0.12,14.35,85.53,,0.18,10.3,89.52,,,22.71,77.29,,,11.99,88.01,,,27.3,72.7,,,,,100,,,0.56,2.03,97.41,,,,2.25,97.75,,,0.42,10.21,89.37,,,,,100,,,0.53,12.6,86.88,,,,0.43,99.57,0,0.02,1.39,8.14,90.46,,,0.03,8.49,91.49,,,5.21,17.3,77.49,,,,,100,,,6.56,20.48,72.96,,,,,100,,,0.03,1.28,98.68,,,,1.92,98.08,,,0.21,9.58,90.21,,,,,100,,,0.26,12.07,87.66,,,,,100,,,,0.17,99.83,,,,,100,,,,1.25,98.75,,,,,100,,,,1.57,98.43
