laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E06000001,Hartlepool,9345,47585,665,0,565,0.09,0.29,3.71,95.91,3.01,2.61,32.66,61.73,0.93,1.88,5.18,92.01,4.92,7.77,22.01,65.3,,,,,5.62,7.37,21.66,65.35,,0,0,0.36,99.63,0.01,0.1,4.28,9.23,86.38,,0.12,0.75,4.07,95.06,0.3,0.3,6.58,17.83,75,,,,,,0.35,0.35,7.75,19.58,71.97,0,0,0.01,1.24,98.75,0.01,1.98,5.02,30.53,62.46,0.08,0.21,0.54,2.92,96.25,,2.53,7.34,25.59,64.54,,,,,,,2.81,7.22,25.51,64.47,,0,0,0,100,0.01,0,0.35,7.89,91.75,,0.07,0.3,0.59,99.03,,0.44,0.9,8.68,89.98,,,,,,,0.52,1.06,8.98,89.44,,,,,100,0,0,0.01,0.49,99.49,,,,0.08,99.92,,,0.15,1.2,98.65,,,,,,,,0.17,1.41,98.42
E06000002,Middlesbrough,5387,68329,760,0,577,,,4.58,95.42,,0,37.52,62.48,,,7.23,92.77,,,33.79,66.21,,,,,,,34.82,65.18,,,,0.08,99.92,,,2.17,10.62,87.21,,,,1.46,98.54,,,3.67,9.85,86.47,,,,,,,,2.76,10.04,87.2,,,,0.18,99.82,,,2.4,22.4,75.2,,,,0.39,99.61,,,4.19,24.95,70.86,,,,,,,,3.45,25.07,71.48,,,,0,100,,,0.6,5.72,93.68,,,,0.21,99.79,,,1.31,4.07,94.62,,,,,,,,0.86,3.63,95.51,,,,,100,,,,0.18,99.82,,,,,100,,,,0.13,99.87,,,,,,,,,,100
E06000003,Redcar and Cleveland,24471,68559,1469,0,1190,0.05,0.78,3.7,95.47,1.92,2.8,27.92,67.36,2.87,2.91,16.28,77.94,3.65,5.31,32.48,58.56,,,,,3.48,4.43,33.88,58.21,0,0,0.07,0.63,99.3,0.06,0.33,5.15,10.91,83.54,0.18,0.53,5.54,7.39,86.36,,0.9,10.41,20.18,68.52,,,,,,,1.11,11.75,18.39,68.75,0.01,0,0.07,0.49,99.43,0.02,0.48,1.46,9.71,88.32,0.66,0.81,1.5,7.16,89.88,0.14,0.82,6.38,20.42,72.24,,,,,,0.17,1.01,7.29,20.24,71.29,0,0,0.01,0.08,99.91,0.01,0.04,0.44,2.9,96.62,0.13,0.31,0.8,3.85,94.91,,0.14,3.58,9.91,86.38,,,,,,,0.17,4.33,10.57,84.93,,0,0,0.01,99.99,0.01,0,0.05,0.45,99.49,0,0.07,0.2,0.5,99.22,,,,3.54,96.46,,,,,,,,,4.11,95.89
E06000004,Stockton-on-Tees,20517,92889,1426,0,1284,0.04,0.29,3.5,96.17,0.93,2.33,31.31,65.43,0.47,1.91,11.45,86.17,0.63,1.11,33.84,64.42,,,,,0.7,1.24,33.91,64.15,,0,0.1,1.21,98.69,0,0.09,6.14,14.15,79.62,,0.03,2.71,6.21,91.05,,0.14,6.84,19.24,73.78,,,,,,,0.16,6.57,20.51,72.76,,0,0.03,0.36,99.61,0.05,0.51,2.16,15.42,81.86,0.01,0.09,0.46,5.9,93.54,,0.49,2.17,26.19,71.15,,,,,,,0.54,2.26,25.58,71.62,,0,0,0.03,99.96,0,0.04,0.8,5.65,93.51,,0,0.2,3.8,96,,0.07,0.84,11.68,87.4,,,,,,,0.08,0.86,11.8,87.27,,,,0,100,,0,0.03,0.29,99.68,,,,0.03,99.97,,,,0.85,99.15,,,,,,,,,0.94,99.06
E06000005,Darlington,19746,54760,1114,127,903,0.02,0.04,1.06,98.89,0.68,1.91,30.87,66.54,0.13,0.54,8.57,90.76,5.31,9.08,29.37,56.24,,,4.71,95.29,0.44,5.51,26.15,67.91,,,0.23,0.8,98.97,,0.05,5.1,6.65,88.2,,,1.51,6.55,91.94,,,13.63,18.82,67.55,,,1.57,8.64,89.79,,,8.28,17.04,74.68,,,0.02,0.25,99.73,0.04,0.13,3.93,7.55,88.35,,0.07,0.41,1.95,97.57,0.27,1.15,6.34,19.2,73.05,,,,3.95,96.05,,0.11,4.43,19.49,75.97,,,,0.17,99.83,,,0.6,2.02,97.39,,,0.23,1.05,98.72,,,2.4,11.69,85.91,,,,,100,,,1.87,9.38,88.75,,,,0,100,,,0.02,0.23,99.75,,,,0.02,99.98,,,,0.54,99.46,,,,,100,,,,0.33,99.67
E06000006,Halton,7905,62497,824,84,724,,0,0.56,99.44,0.49,1.04,20.55,77.93,,0.05,2.73,97.22,0.12,0.73,15.89,83.25,,3.6,17.86,78.54,,0.69,17.12,82.19,,,0.01,0.04,99.95,,,2.13,3.69,94.18,,,0.05,0.45,99.5,,,1.84,7.94,90.22,,,,9.58,90.42,,,1.67,8.75,89.59,,,0,0.09,99.91,0.03,0.08,1.01,10.12,88.76,,,0.01,0.29,99.69,,0.24,0.61,10.32,88.83,,,3.6,15.47,80.93,,0.14,1.11,9.81,88.94,,,,0.04,99.96,,,0.09,1.57,98.34,,,,0.06,99.94,,,,1.71,98.29,,,,4.79,95.21,,,,1.94,98.06,,,,,100,,,,0.09,99.91,,,,,100,,,,,100,,,,,100,,,,,100
E06000007,Warrington,18069,100096,1751,510,1803,0,0.04,1.84,98.12,0.47,1.38,25.79,72.37,0.03,0.17,6.96,92.84,0.87,2.94,26.2,69.99,,0.58,28.23,71.19,0.85,2.18,27.27,69.71,,,0.05,0.21,99.75,,0.03,2.94,6.24,90.79,,,0.16,2.38,97.45,,,5.24,14.24,80.52,,,4.3,14.32,81.38,,,5.08,14.33,80.59,,,0,0.35,99.65,0.03,0.04,2.11,23.02,74.79,,,0.02,2.43,97.55,,0.11,3.14,20.45,76.3,,,2.72,21.36,75.92,,0.05,3.37,21.59,74.99,,,,0.05,99.95,,0.03,0.5,4.55,94.91,,,,1.08,98.92,,,1.37,7.42,91.21,,,1.74,10.59,87.67,,,1.6,8.65,89.75,,,,0,100,,,0,0.35,99.65,,,,0.05,99.95,,,,0.51,99.49,,,,3.53,96.47,,,,1.33,98.67
E06000008,Blackburn with Darwen,13702,67578,879,104,763,0.02,0.04,1.27,98.67,0.22,1.16,20.93,77.68,2.44,2.4,8.53,86.63,4.79,5.35,33.22,56.64,,,17.34,82.66,3.67,4.58,29.21,62.54,,0,0.04,0.2,99.76,0.02,0.01,0.99,2.96,96.02,,0.26,1.94,3.21,94.6,0.23,0.57,8.45,11.29,79.46,,,5.81,6.77,87.42,0.26,0.39,4.07,10.11,85.17,0,0.02,0.02,0.44,99.52,0.08,0.51,0.6,3.47,95.35,0.69,1.22,2.26,10.91,84.91,1.37,2.39,9.24,15.01,71.99,,,,18.24,81.76,0.91,1.83,7.62,16.89,72.74,,0,0.01,0.03,99.96,0.02,0.01,0.1,0.8,99.07,,0.17,0.86,2.27,96.71,0.23,0.57,4.91,7.07,87.22,,,,,100,0.26,0.39,1.97,6.7,90.68,,,0,0,100,0,0.01,0.02,0.11,99.85,,0.04,0.13,0.59,99.24,,,1.83,6.61,91.56,,,,,100,,,0.65,5.25,94.1
E06000009,Blackpool,3484,77737,683,5,456,,,0.07,99.93,,0.18,11.97,87.85,,,0.23,99.77,,0.58,14.21,85.21,,,20.01,79.99,,0.87,14.69,84.43,,,,,100,,,0.28,3.16,96.57,,,,,100,,,0.44,4.4,95.17,,,,,100,,,0.22,5.05,94.74,,,,0.06,99.94,,,0.02,14.7,85.28,,,,0.14,99.86,,,0.15,12.74,87.12,,,,20.01,79.99,,,0.22,14.69,85.09,,,,,100,,,,0.7,99.3,,,,,100,,,,1.17,98.83,,,,,100,,,,0.88,99.12,,,,,100,,,,0.06,99.94,,,,,100,,,,,100,,,,,100,,,,,100
E06000010,"Kingston upon Hull, City of",7131,128658,664,0,555,,,0.15,99.85,,0,18.34,81.66,,,2.13,97.87,,,19.43,80.57,,,,,,,21.63,78.37,,,0,0,99.99,,,0.59,2.58,96.83,,,0.28,0.52,99.19,,,0.46,5.29,94.26,,,,,,,,0.55,6.32,93.13,,,,,100,,,0.03,1.48,98.49,,,,0.03,99.97,,,0.15,4.97,94.88,,,,,,,,0.18,5.95,93.87,,,,,100,,,0.03,0.17,99.8,,,,0.03,99.97,,,,1.05,98.95,,,,,,,,,1.26,98.74,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100
E06000011,East Riding of Yorkshire,240686,167543,8589,452,5052,0.32,0.8,10.04,88.84,4.15,8.48,30.38,56.98,1.31,3.01,13.08,82.6,9.52,11.59,29.91,48.98,0.22,3.38,21.09,75.31,3.19,7.92,31.33,57.56,0,0.02,1.37,3.6,95.02,0.28,0.42,12.29,13.09,73.91,0.06,0.21,2.87,6.87,89.98,0.85,1.27,18.02,24.34,55.52,,,4.42,19.51,76.07,,0.37,12.7,21.44,65.49,0.01,0.08,0.33,4.66,94.92,0.48,1.77,7.03,19.87,70.85,0.16,0.41,1.11,3.84,94.49,1.22,3.15,9.07,25.47,61.1,,,0.67,11.47,87.87,0.08,1.45,5.62,21.91,70.93,0,0,0.07,0.88,99.05,0.13,0.26,2.26,9.62,87.75,0.03,0.09,0.47,1.58,97.84,0.51,0.66,4.16,14.41,80.27,,,0.22,4.25,95.53,,0.06,1.62,10.36,87.96,,0,0,0.02,99.97,0,0.05,0.29,2.48,97.17,,0.01,0.07,0.25,99.67,0.06,0.17,0.69,2.86,96.23,,,,,100,,,,1.07,98.93
E06000012,North East Lincolnshire,19187,74358,1460,0,1103,0.16,1.1,1.07,97.67,1.98,5.91,22.69,69.42,2,2.82,7.91,87.26,4.3,10.38,23.94,61.38,,,,,2.17,8.32,23.34,66.17,,0,0.25,0.7,99.05,0.17,0.25,5.04,3.15,91.4,,0.1,5.32,8.06,86.52,0.55,0.75,11.87,19.65,67.18,,,,,,,0.27,11.55,19.24,68.94,0.06,0.03,0.11,2.78,97.02,1.21,2.29,6.36,21.53,68.6,0.48,0.78,1.52,5.77,91.45,1.23,2.05,10.46,29.38,56.88,,,,,,0.63,1.45,7.94,29.2,60.78,,0,0.11,0.43,99.46,0.13,0.08,2.92,3.78,93.09,,0.03,1.7,2.98,95.28,0.48,0.55,4.17,14.12,80.68,,,,,,,0.27,3.52,15.71,80.49,,,0.01,0.02,99.97,0.05,0.03,0.11,2.35,97.46,,,0.02,0.15,99.83,0.14,0.21,0.55,3.35,95.76,,,,,,,,0.18,3.52,96.3
E06000013,North Lincolnshire,84501,80784,3844,497,2438,0.15,0.48,10.53,88.84,5.61,8.06,33.26,53.08,0.56,1.2,12.57,85.67,8.97,11.1,29.83,50.11,2.07,3.72,19.82,74.39,2.67,5.83,29.88,61.62,,,2.15,3.61,94.24,0.07,0.23,11.05,10.42,78.23,,,1.7,5.84,92.46,0.63,0.68,10.97,24.28,63.45,,,1.24,12.23,86.54,,,7.85,17.23,74.92,,0.08,0.4,5.85,93.67,0.89,3.74,8.32,11.94,75.11,0,0.21,0.35,3.03,96.41,1.38,1.96,7.38,21.1,68.18,,,1.23,9.02,89.75,0.04,0.29,4.67,15.74,79.27,,,0.1,1.95,97.95,0.04,0.18,3.83,8.21,87.74,,,0.03,1.85,98.12,0.55,0.52,2.85,10.52,85.56,,,,6.15,93.85,,,1.68,7.19,91.13,,,,0,100,,0,0.2,3.99,95.81,,,,0.06,99.94,,0.47,0.39,2.52,96.62,,,,,100,,,,0.45,99.55
E06000014,York,27188,96155,1571,0,1211,0,0.01,1.3,98.69,0.18,2.75,18.44,78.63,0.18,0.64,6.93,92.24,0.32,4.65,21.04,73.98,,,,,0.33,3.08,18.21,78.38,,,0,0.71,99.29,0,0.01,2.13,5.87,91.98,,,0.04,2.6,97.36,,,3.63,15.01,81.36,,,,,,,,1.66,10.58,87.76,,,,0.36,99.64,0.01,0.3,2.44,12.29,84.96,,,0.01,0.7,99.29,,0.38,2.15,11.69,85.78,,,,,,,0.17,1.81,11.96,86.06,,,,0,100,,,0.44,2.46,97.1,,,,0.39,99.61,,,0.25,3.49,96.26,,,,,,,,,2.72,97.28,,,,,100,,,,0.01,99.99,,,,,100,,,,0.06,99.94,,,,,,,,,0.08,99.92
E06000015,Derby,7799,119485,937,0,873,,,0.03,99.97,,0.03,10.01,89.97,,,0.33,99.67,,,12.41,87.59,,,,,,,13.19,86.81,,,,,100,,,0.01,0.72,99.28,,,,0.01,99.99,,,0.32,1.71,97.97,,,,,,,,0.34,1.84,97.82,,,,0,100,,,0.19,5.71,94.1,,,,0.03,99.97,,,0.11,3.09,96.8,,,,,,,,0.12,3.09,96.79,,,,,100,,,,0.09,99.91,,,,,100,,,,0.75,99.25,,,,,,,,,0.8,99.2,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100
E06000016,Leicester,7332,145349,1054,0,866,,,0.31,99.69,0.02,0.13,18.42,81.43,,,1.66,98.34,0.38,0.85,20.49,78.28,,,,,0.46,1.04,21,77.51,,,,0,100,,,1.17,2.83,96,,,,0.29,99.71,,,1.62,4.46,93.92,,,,,,,,1.74,4.96,93.3,,,,0,100,,0,0.4,3.39,96.2,,,,0.05,99.95,,0.09,0.57,5.3,94.04,,,,,,,0.12,0.69,5.65,93.55,,,,,100,,,,0.33,99.67,,,,0.01,99.99,,,,0.95,99.05,,,,,,,,,0.81,99.19,,,,,100,,,,0,100,,,,,100,,,,,100,,,,,,,,,,100
E06000017,Rutland,39384,18838,1586,0,1140,1.09,2.91,18.76,77.23,13.09,20.68,35.15,31.09,1.73,3.19,15.52,79.57,7.06,18.94,26.23,47.77,,,,,7.89,20.32,25.36,46.43,0,0.01,1.16,5.28,93.56,0.32,2.55,16.2,21.54,59.39,0.05,0.19,1.5,6.37,91.89,0.13,0.32,8.39,20.81,70.36,,,,,,0.18,0.44,8.34,21.13,69.92,0.01,0.08,1.09,4.9,93.91,0.87,3.41,11.63,26.15,57.94,0.16,0.23,1.37,4.03,94.21,,0.57,4.58,20.24,74.61,,,,,,,0.52,5.4,17.29,76.79,0,0,0.02,0.68,99.3,0.03,0.66,3.89,13.44,81.98,0.03,0.09,0.19,1.48,98.2,,,0.63,6.55,92.82,,,,,,,,0.79,6.56,92.66,,,,0,100,0.01,0,0.63,4.93,94.44,,,0,0.07,99.93,,,,0.69,99.31,,,,,,,,,0.88,99.12
E06000018,Nottingham,7453,144446,1149,3,868,,,0.52,99.48,0.1,0.11,12.74,87.05,,,1.48,98.52,,0.09,17.12,82.8,,,,100,,,14.27,85.73,,,,0.02,99.98,,,2.48,2.36,95.16,,,,0.29,99.71,,,2,5.13,92.87,,,,,100,,,1.72,5.41,92.87,,,,,100,,,0.1,4.77,95.14,,,,0.04,99.96,,,,5.83,94.17,,,,,100,,,,4.5,95.5,,,,,100,,,0.01,0.37,99.62,,,,0.01,99.99,,,,0.35,99.65,,,,,100,,,,0.34,99.66,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100
E06000019,"Herefordshire, County of",217953,91042,9525,92,5702,1.04,1.84,14.63,82.49,9.19,10.43,33.31,47.07,4.5,7.17,20.13,68.21,14.98,20.43,31.97,32.63,1.09,2.16,30.51,66.24,11.93,19.06,32.12,36.89,0.16,0.21,2.54,5.67,91.43,1.36,1.61,13.48,14.23,69.31,0.43,0.92,5.4,9.64,83.61,2,2.78,15.31,20.93,58.97,,,7.61,23.97,68.42,0.8,1.89,12.67,20.59,64.05,0.4,0.72,1.83,5.72,91.33,3.49,4.79,10.1,16.29,65.33,1.69,2.57,6.36,12.63,76.76,4.27,7.14,17.48,22.62,48.49,1.09,,1.09,24,73.83,2.28,4.67,15.79,22.41,54.86,0.06,0.18,0.66,2.03,97.07,0.96,1.23,5.58,9.51,82.71,0.26,0.62,2.22,5.25,91.65,1.38,1.84,7.26,15.74,73.79,,,1.09,14.17,84.75,0.65,0.95,5.58,14.46,78.36,0,0.03,0.14,0.44,99.38,0.33,0.56,1.34,3.95,93.81,0.03,0.15,0.6,1.9,97.32,0.6,0.79,1.95,6.32,90.34,,,,1.09,98.91,0.28,0.24,1.12,5.78,92.59
E06000020,Telford and Wrekin,29012,82997,1883,130,1182,0.26,0.55,5.1,94.1,3,3.69,31.96,61.35,1.48,2.13,10.8,85.59,13.53,12.91,30.19,43.36,,,26.19,73.81,7.65,7,34.18,51.17,,,0.57,1.57,97.86,0.19,0.73,6.13,7.55,85.41,,0.03,1.37,4.78,93.83,0.59,1.36,10.72,19.36,67.96,,,8.37,10.68,80.96,0.94,0.59,6.94,17.17,74.36,0,0.04,0.16,1,98.8,0.84,1.85,3.57,16.11,77.63,0.2,0.35,0.89,3.03,95.53,1.84,5.75,10.28,20.84,61.3,,,4.59,24.56,70.84,0.85,3.75,5.75,20.66,68.99,,,0,0.18,99.81,0.11,0.41,1.03,5.9,92.56,,0.03,0.12,1.09,98.76,0.11,0.85,2.88,10.95,85.21,,,,7.64,92.36,0.17,0.94,1.36,9.92,87.62,,,,0,100,0,0.04,0.07,0.76,99.13,,0.01,0.02,0.08,99.89,,0.21,0.37,0.96,98.46,,,,,100,,0.34,0.51,1.19,97.97
E06000021,Stoke-on-Trent,9349,123716,1471,0,1243,,,1.09,98.91,0.18,0.89,24.89,74.04,,,1.65,98.35,,0.55,24.71,74.74,,,,,,0.65,24.73,74.62,,,,0.11,99.89,,,3.54,8.94,87.52,,,0.01,0.37,99.62,,,2.86,8.43,88.71,,,,,,,,2.5,8.93,88.57,,,,0.88,99.12,0,0.06,2.16,15.44,82.33,,,0.01,0.78,99.21,,,3.35,12.84,83.82,,,,,,,,3.47,11.96,84.56,,,,0,100,,,0.18,3.99,95.83,,,,0.06,99.94,,,0.27,3.55,96.17,,,,,,,,0.32,3.4,96.28,,,,,100,,,,0.5,99.5,,,,,100,,,,0.14,99.86,,,,,,,,,0.16,99.84
E06000022,Bath and North East Somerset,35125,89069,2223,0,1636,0.14,0.37,8.24,91.25,3.35,6.99,27.46,62.2,0.81,2.47,11.74,84.98,4.86,12.27,26.38,56.49,,,,,3.66,10.56,23.6,62.18,,0.01,0.45,2.15,97.4,0.08,0.27,10.65,9.17,79.82,,0.05,1.77,4.86,93.32,,0.22,5.61,11.69,82.48,,,,,,,0.18,2.94,10.78,86.1,0.1,0.11,0.27,1.58,97.95,0.97,2.06,5.57,13.58,77.82,0.42,0.89,2.59,6.36,89.73,3.4,3.6,8.16,16.22,68.62,,,,,,2.24,3.34,6.36,14.93,73.14,,,0.07,0.18,99.76,0.07,0.11,2.31,5.1,92.4,,0.02,0.6,1.98,97.4,,0.18,2.33,5.85,91.65,,,,,,,0.12,0.68,4.81,94.39,,,0,0.01,99.99,0.03,0.05,0.16,0.94,98.82,,,0.11,0.41,99.48,,0.09,0.09,1.95,97.87,,,,,,,0.12,,1.22,98.66
E06000023,"Bristol, City of",10973,211122,1734,200,1269,,,0.63,99.37,0.04,0.87,18.59,80.51,,0.05,2.8,97.14,1.09,0.98,17.96,79.97,,1.99,23.46,74.55,1.49,1.49,17.22,79.8,,,0,0.05,99.95,,,2.05,5.06,92.89,,,0.04,0.62,99.34,,0.17,3.51,5.23,91.09,,,,8.48,91.52,,0.23,3.93,5.34,90.5,,,0,0,100,0,0.03,0.42,7.89,91.66,,,0.06,0.32,99.62,0.57,0.69,1.2,6.63,90.9,,,1.49,11.94,86.57,0.78,0.94,1.64,6.68,89.95,,,,0,100,,,0.11,1.55,98.33,,,,0.09,99.91,,0.11,1.32,2.35,96.22,,,,2.48,97.52,,0.16,1.64,2.5,95.7,,,,,100,,,,0,100,,,,,100,,,0.17,0.63,99.2,,,,,100,,,0.24,0.86,98.9
E06000024,North Somerset,37426,103384,2151,389,1583,0.02,0.27,5.35,94.36,2.7,6.2,33,58.11,0.49,1.46,8.13,89.92,7.59,12.42,25.88,54.11,0.52,1.81,10.76,86.92,6.04,9.63,21.68,62.65,,0.03,0.67,1.48,97.81,0.07,0.23,8.06,12.07,79.58,,0.05,1,3.94,95.01,0.89,1.69,8.22,13.86,75.33,,,0.51,4.85,94.64,0.51,1.15,6.52,11.97,79.84,0,0.05,0.16,1.81,97.97,0.4,2.97,7.76,20.41,68.45,0.12,1,1.74,3.78,93.36,3.3,6.81,7.82,14.17,67.91,,1.28,3.32,13.09,82.3,1.92,4.7,6.81,13.24,73.32,,,0.04,0.46,99.5,0.01,0.12,2.57,6.68,90.62,,0.01,0.21,1.25,98.53,0.8,0.9,4.06,7.76,86.49,,,0.25,3.31,96.43,0.51,0.45,3.15,6.5,89.39,,,0.03,0.02,99.96,0,0.05,0.05,1.09,98.81,,,0.02,0.26,99.72,0.38,0.42,0.61,3.31,95.28,,,,0.25,99.75,0.19,0.13,0.19,1.79,97.7
E06000025,South Gloucestershire,49690,127589,2921,925,2425,0.01,0.29,3.64,96.06,1.7,4.21,36.33,57.76,1.03,1.77,10.7,86.5,6.24,10.45,30.88,52.43,0.43,2.97,29.23,67.36,3.09,6.1,29.43,61.38,,0,0.13,0.89,98.98,0.01,0.06,6.34,11.77,81.82,,0.06,2.46,4.72,92.76,,0.07,7.98,18.88,73.07,,,3.97,16.63,79.4,,0.09,5.83,17.44,76.65,0,0.01,0.03,0.36,99.6,0.22,0.7,2.56,14.93,81.58,0.1,0.35,1.53,3.68,94.34,0.34,1.49,5.47,17.09,75.61,,,1.94,12.48,85.59,0.17,0.72,3.77,14.84,80.5,,0,0.01,0.07,99.92,0.01,0.03,0.43,3.14,96.39,,0.02,0.9,1.89,97.19,,,0.72,6.08,93.2,,,0.53,6,93.47,,,0.54,5.59,93.87,,,0,0,100,0,0,0.03,0.12,99.85,,,0.2,0.47,99.33,,,,0.45,99.55,,,,0.11,99.89,,,,0.34,99.66
E06000026,Plymouth,7982,124129,932,0,547,,,0.64,99.36,0.1,1.05,17.98,80.87,0.25,0.15,1.94,97.66,0.33,1.18,20.01,78.48,,,,,0.56,0.18,19.79,79.47,,,,0,100,,,1.19,3.15,95.66,,,0.06,0.29,99.65,,,1.41,6.03,92.56,,,,,,,,1.48,6.05,92.47,,,0,0.12,99.88,0,0.02,0.26,5.13,94.58,,0.11,0.27,0.93,98.69,,0.43,0.86,7.32,91.39,,,,,,,0.19,0.19,6.97,92.66,,,,0,100,,,0.08,0.99,98.93,,,0.04,0.14,99.82,,,0.11,0.97,98.92,,,,,,,,0.19,0.74,99.08,,,,,100,,,,0,100,,,,,100,,,,0.11,99.89,,,,,,,,,,100
E06000027,Torbay,6283,78214,620,0,528,0.09,0.07,2.51,97.33,0.75,1.97,24.84,72.43,0.29,0.8,6.45,92.46,0.81,3.08,25.03,71.08,,,,,0.95,3.23,23.9,71.91,,,0.01,0.22,99.77,0.02,0.03,2.75,6.7,90.49,,0.02,0.32,2.07,97.6,,,3.41,8.56,88.03,,,,,,,,3.63,7.39,88.98,,,0.05,0.28,99.67,0.08,0.34,1.76,9.62,88.21,,,0.38,2.8,96.82,0.16,0.33,3.08,11.15,85.28,,,,,,0.19,0.38,3.61,11.01,84.81,,,,0.02,99.98,0.02,0.01,0.18,1.17,98.62,,,,0.7,99.3,,,0.33,1.94,97.74,,,,,,,,0.38,2.09,97.53,,,,,100,,,0.04,0.09,99.86,,,,,100,,,,0.65,99.35,,,,,,,,,0.76,99.24
E06000030,Swindon,23007,102569,1665,193,1015,0,0.07,7.05,92.88,1.87,5.59,37.16,55.38,0.11,0.85,12.63,86.4,4.88,8.66,35.62,50.84,,0.51,31.09,68.4,1.87,8.07,35.17,54.89,,,1.92,1.64,96.44,,0.04,13.01,12.16,74.79,,,1.81,6,92.2,,,14.18,17.32,68.5,,,1.05,11.44,87.51,,,8.7,15.98,75.32,,,0.01,0.49,99.5,0.06,0.58,3.46,6.79,89.1,,,0.2,1.26,98.53,0.06,1.09,5.9,10.67,82.29,,,1.53,4.64,93.83,,0.49,4.23,8.27,87.01,,,0,0.24,99.75,,0.01,0.48,4.91,94.61,,,0.1,0.73,99.18,,,1.51,8.82,89.66,,,,1.03,98.97,,,0.99,4.45,94.56,,,,,100,,,0.01,0.46,99.52,,,,,100,,,,0.55,99.45,,,,,100,,,,0.3,99.7
E06000031,Peterborough,34336,92882,2169,17,1519,0,0.01,5.92,94.07,0.34,3.29,36.18,60.19,0.29,1.57,9.96,88.18,1.33,4.84,33.29,60.54,,,47.05,52.95,,1.48,31.04,67.48,,,1.08,1.32,97.6,0,0,8.3,9.84,81.86,,,1.21,4.76,94.03,,0.05,11.31,21.58,67.07,,,,,100,,,9.45,16.67,73.88,,0,0,0.05,99.94,0.06,0.55,1.87,10.33,87.19,,0.33,0.31,0.73,98.63,0.66,1.25,3.06,10.74,84.29,,,,,100,,0.2,1.32,6.7,91.78,,,,0.04,99.96,0,0,0.58,3.51,95.91,,,,0.86,99.14,,0.05,1.22,5.66,93.08,,,,,100,,,0.8,4.07,95.14,,,,,100,,0,0,0.05,99.94,,,,0,100,,,,0.14,99.86,,,,,100,,,,0.07,99.93
